doc_index,register,n_tokens,n_sents,pos_counts_json,n_unique_lemmas,top_deprel_json
11,informal,269,17,"{""ADJ"": 21, ""ADP"": 24, ""ADV"": 26, ""AUX"": 13, ""CCONJ"": 16, ""DET"": 15, ""INTJ"": 1, ""NOUN"": 44, ""NUM"": 2, ""PART"": 9, ""PRON"": 26, ""PROPN"": 1, ""PUNCT"": 34, ""SCONJ"": 6, ""SPACE"": 1, ""VERB"": 30}",128,"{""punct"": 33, ""advmod"": 32, ""case"": 20, ""nsubj"": 19, ""ROOT"": 17, ""obj"": 17, ""conj"": 17, ""obl"": 16, ""cc"": 16, ""det"": 16, ""mark"": 10, ""amod"": 8}"
12,informal,281,16,"{""ADJ"": 23, ""ADP"": 27, ""ADV"": 26, ""AUX"": 9, ""CCONJ"": 19, ""DET"": 13, ""INTJ"": 1, ""NOUN"": 46, ""NUM"": 2, ""PART"": 9, ""PRON"": 31, ""PROPN"": 1, ""PUNCT"": 34, ""SCONJ"": 6, ""SPACE"": 1, ""VERB"": 33}",137,"{""punct"": 32, ""advmod"": 30, ""nsubj"": 24, ""case"": 21, ""cc"": 19, ""conj"": 19, ""obl"": 17, ""obj"": 17, ""ROOT"": 16, ""det"": 14, ""mark"": 13, ""amod"": 9}"
13,informal,231,13,"{""ADJ"": 18, ""ADP"": 23, ""ADV"": 20, ""AUX"": 7, ""CCONJ"": 13, ""DET"": 13, ""INTJ"": 1, ""NOUN"": 38, ""NUM"": 2, ""PART"": 9, ""PRON"": 24, ""PROPN"": 2, ""PUNCT"": 31, ""SCONJ"": 4, ""SPACE"": 1, ""VERB"": 25}",115,"{""punct"": 30, ""advmod"": 25, ""case"": 19, ""nsubj"": 18, ""obj"": 16, ""obl"": 15, ""cc"": 14, ""det"": 14, ""conj"": 14, ""ROOT"": 13, ""amod"": 8, ""mark"": 8}"
14,informal,273,16,"{""ADJ"": 20, ""ADP"": 27, ""ADV"": 31, ""AUX"": 12, ""CCONJ"": 15, ""DET"": 12, ""INTJ"": 1, ""NOUN"": 42, ""NUM"": 2, ""PART"": 10, ""PRON"": 28, ""PROPN"": 2, ""PUNCT"": 34, ""SCONJ"": 5, ""SPACE"": 1, ""VERB"": 31}",137,"{""punct"": 34, ""advmod"": 33, ""case"": 22, ""obj"": 19, ""obl"": 18, ""nsubj"": 18, ""ROOT"": 16, ""cc"": 16, ""conj"": 14, ""det"": 13, ""mark"": 11, ""amod"": 10}"
15,informal,64,7,"{""ADJ"": 4, ""ADP"": 8, ""ADV"": 7, ""AUX"": 1, ""CCONJ"": 1, ""DET"": 1, ""NOUN"": 15, ""PART"": 2, ""PRON"": 6, ""PROPN"": 2, ""PUNCT"": 10, ""SPACE"": 1, ""VERB"": 6}",44,"{""punct"": 10, ""advmod"": 8, ""ROOT"": 7, ""nsubj"": 4, ""case"": 4, ""fixed"": 4, ""amod"": 3, ""nmod"": 3, ""nmod:poss"": 2, ""obj"": 2, ""conj"": 2, ""mark"": 2}"
16,informal,72,8,"{""ADJ"": 5, ""ADP"": 8, ""ADV"": 9, ""AUX"": 1, ""CCONJ"": 2, ""NOUN"": 16, ""PART"": 3, ""PRON"": 7, ""PROPN"": 2, ""PUNCT"": 10, ""SPACE"": 1, ""VERB"": 8}",52,"{""advmod"": 11, ""punct"": 10, ""ROOT"": 8, ""nsubj"": 6, ""amod"": 4, ""case"": 4, ""fixed"": 4, ""nmod"": 3, ""conj"": 3, ""obl"": 3, ""nmod:poss"": 2, ""obj"": 2}"
17,informal,36,2,"{""ADJ"": 2, ""ADP"": 6, ""ADV"": 4, ""AUX"": 1, ""CCONJ"": 1, ""DET"": 1, ""NOUN"": 10, ""PART"": 1, ""PRON"": 4, ""PROPN"": 2, ""PUNCT"": 1, ""SPACE"": 1, ""VERB"": 2}",30,"{""case"": 7, ""obl"": 4, ""ROOT"": 2, ""amod"": 2, ""nsubj"": 2, ""obj"": 2, ""punct"": 2, ""nmod"": 2, ""conj"": 2, ""xcomp"": 2, ""advmod"": 2, ""cop"": 1}"
18,informal,43,2,"{""ADJ"": 2, ""ADP"": 6, ""ADV"": 4, ""AUX"": 2, ""CCONJ"": 2, ""DET"": 1, ""NOUN"": 11, ""PRON"": 6, ""PROPN"": 1, ""PUNCT"": 3, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 3}",34,"{""case"": 7, ""nsubj"": 4, ""obl"": 4, ""punct"": 3, ""conj"": 3, ""ROOT"": 2, ""cop"": 2, ""amod"": 2, ""acl:relcl"": 2, ""nmod"": 2, ""cc"": 2, ""xcomp"": 2}"
19,informal,46,2,"{""ADJ"": 3, ""ADP"": 8, ""ADV"": 5, ""AUX"": 3, ""CCONJ"": 1, ""DET"": 2, ""NOUN"": 10, ""PRON"": 5, ""PROPN"": 1, ""PUNCT"": 4, ""SPACE"": 1, ""VERB"": 3}",35,"{""case"": 9, ""obl"": 5, ""punct"": 4, ""amod"": 3, ""nsubj"": 3, ""nmod"": 3, ""ROOT"": 2, ""cop"": 2, ""det"": 2, ""xcomp"": 2, ""parataxis"": 2, ""advmod"": 2}"
20,informal,38,2,"{""ADJ"": 3, ""ADP"": 7, ""ADV"": 2, ""AUX"": 1, ""CCONJ"": 1, ""DET"": 1, ""NOUN"": 9, ""PRON"": 6, ""PROPN"": 1, ""PUNCT"": 3, ""SPACE"": 1, ""VERB"": 3}",28,"{""case"": 8, ""obl"": 5, ""amod"": 3, ""punct"": 3, ""ROOT"": 2, ""nsubj"": 2, ""obj"": 2, ""nmod"": 2, ""conj"": 2, ""xcomp"": 2, ""cop"": 1, ""det"": 1}"
21,informal,43,2,"{""ADJ"": 3, ""ADP"": 7, ""ADV"": 2, ""AUX"": 2, ""CCONJ"": 1, ""DET"": 1, ""NOUN"": 9, ""PRON"": 7, ""PROPN"": 3, ""PUNCT"": 2, ""SPACE"": 1, ""VERB"": 5}",31,"{""case"": 8, ""obl"": 5, ""nsubj"": 4, ""ROOT"": 2, ""cop"": 2, ""amod"": 2, ""acl:relcl"": 2, ""obj"": 2, ""punct"": 2, ""nmod"": 2, ""det"": 1, ""fixed"": 1}"
22,informal,19,1,"{""ADJ"": 3, ""ADP"": 1, ""AUX"": 2, ""DET"": 1, ""NOUN"": 3, ""PRON"": 2, ""PUNCT"": 6, ""SPACE"": 1}",10,"{""punct"": 6, ""nsubj"": 2, ""cop"": 2, ""amod"": 2, ""nmod:poss"": 1, ""ROOT"": 1, ""case"": 1, ""advmod"": 1, ""dep"": 1, ""det"": 1, ""appos"": 1}"
23,informal,24,3,"{""ADJ"": 3, ""ADP"": 2, ""AUX"": 2, ""NOUN"": 3, ""PART"": 1, ""PRON"": 4, ""PUNCT"": 7, ""SPACE"": 1, ""VERB"": 1}",13,"{""punct"": 7, ""nsubj"": 3, ""ROOT"": 3, ""cop"": 2, ""case"": 2, ""advmod"": 2, ""nmod:poss"": 1, ""amod"": 1, ""dep"": 1, ""conj"": 1, ""obj"": 1}"
24,informal,33,2,"{""ADJ"": 5, ""ADP"": 2, ""ADV"": 3, ""AUX"": 2, ""CCONJ"": 1, ""NOUN"": 2, ""PRON"": 4, ""PROPN"": 1, ""PUNCT"": 11, ""SPACE"": 1, ""VERB"": 1}",19,"{""punct"": 11, ""advmod"": 3, ""cop"": 2, ""ROOT"": 2, ""case"": 2, ""nsubj"": 1, ""nmod:poss"": 1, ""amod"": 1, ""dep"": 1, ""csubj"": 1, ""appos"": 1, ""cc"": 1}"
25,informal,20,3,"{""ADJ"": 3, ""ADP"": 2, ""ADV"": 1, ""AUX"": 1, ""NOUN"": 2, ""PRON"": 2, ""PROPN"": 2, ""PUNCT"": 6, ""SPACE"": 1}",13,"{""punct"": 6, ""ROOT"": 3, ""case"": 2, ""advmod"": 2, ""nsubj"": 1, ""cop"": 1, ""nmod:poss"": 1, ""amod"": 1, ""dep"": 1, ""obl"": 1, ""flat:name"": 1}"
26,informal,17,1,"{""ADJ"": 4, ""ADP"": 1, ""AUX"": 1, ""NOUN"": 1, ""PRON"": 2, ""PROPN"": 1, ""PUNCT"": 6, ""SPACE"": 1}",10,"{""punct"": 6, ""conj"": 2, ""nsubj"": 1, ""cop"": 1, ""nmod:poss"": 1, ""amod"": 1, ""ROOT"": 1, ""case"": 1, ""advmod"": 1, ""dep"": 1, ""appos"": 1}"
27,informal,20,3,"{""ADJ"": 3, ""ADV"": 4, ""AUX"": 1, ""DET"": 2, ""NOUN"": 4, ""PROPN"": 2, ""PUNCT"": 3, ""SPACE"": 1}",14,"{""advmod"": 4, ""ROOT"": 3, ""punct"": 2, ""det"": 2, ""amod"": 2, ""appos"": 2, ""flat:name"": 1, ""conj"": 1, ""dep"": 1, ""nsubj"": 1, ""cop"": 1}"
28,informal,32,4,"{""ADJ"": 3, ""ADP"": 1, ""ADV"": 5, ""AUX"": 3, ""DET"": 1, ""NOUN"": 2, ""PRON"": 1, ""PROPN"": 6, ""PUNCT"": 7, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 1}",23,"{""punct"": 7, ""ROOT"": 4, ""advmod"": 4, ""flat:name"": 2, ""amod"": 2, ""aux"": 2, ""nsubj"": 2, ""det"": 1, ""appos"": 1, ""conj"": 1, ""dep"": 1, ""cop"": 1}"
29,informal,20,3,"{""ADJ"": 1, ""ADP"": 1, ""ADV"": 3, ""AUX"": 1, ""CCONJ"": 1, ""PART"": 1, ""PRON"": 4, ""PROPN"": 2, ""PUNCT"": 3, ""SPACE"": 1, ""VERB"": 2}",14,"{""ROOT"": 3, ""punct"": 3, ""advmod"": 3, ""obj"": 2, ""obl"": 2, ""cc"": 1, ""dep"": 1, ""nsubj"": 1, ""aux"": 1, ""acl:relcl"": 1, ""amod"": 1, ""case"": 1}"
30,informal,48,6,"{""ADJ"": 4, ""ADP"": 1, ""ADV"": 6, ""AUX"": 4, ""CCONJ"": 2, ""DET"": 2, ""NOUN"": 7, ""PART"": 1, ""PRON"": 7, ""PROPN"": 1, ""PUNCT"": 4, ""SCONJ"": 3, ""SPACE"": 1, ""VERB"": 5}",37,"{""ROOT"": 6, ""advmod"": 6, ""nsubj"": 5, ""punct"": 4, ""dep"": 3, ""mark"": 3, ""obj"": 3, ""conj"": 2, ""cop"": 2, ""advcl"": 2, ""cc"": 2, ""aux"": 2}"
31,informal,47,3,"{""ADJ"": 3, ""ADP"": 4, ""ADV"": 2, ""AUX"": 4, ""DET"": 1, ""NOUN"": 8, ""PART"": 1, ""PRON"": 10, ""PROPN"": 1, ""PUNCT"": 4, ""SCONJ"": 3, ""SPACE"": 1, ""VERB"": 5}",30,"{""nsubj"": 6, ""obj"": 5, ""punct"": 4, ""ROOT"": 3, ""dep"": 3, ""advmod"": 3, ""mark"": 3, ""amod"": 2, ""cop"": 2, ""case"": 2, ""obl"": 2, ""advcl"": 2}"
32,informal,28,4,"{""ADJ"": 4, ""ADP"": 1, ""ADV"": 2, ""AUX"": 2, ""DET"": 2, ""NOUN"": 5, ""PRON"": 4, ""PROPN"": 1, ""PUNCT"": 4, ""SPACE"": 1, ""VERB"": 2}",19,"{""ROOT"": 4, ""punct"": 4, ""dep"": 3, ""nsubj"": 2, ""amod"": 2, ""cop"": 2, ""case"": 2, ""det"": 2, ""acl:relcl"": 1, ""advmod"": 1, ""conj"": 1, ""appos"": 1}"
