doc_index,register,pca1,pca2,explained_var_pc1,explained_var_pc2
0,informal,-0.17521438,-0.16885978,0.078987226,0.055545554
1,informal,-0.18483928,-0.013636328,0.078987226,0.055545554
2,informal,-0.17772464,-0.07651343,0.078987226,0.055545554
3,informal,-0.14167398,-0.04489892,0.078987226,0.055545554
4,informal,-0.094167285,-0.23755558,0.078987226,0.055545554
5,informal,0.016378745,0.095747255,0.078987226,0.055545554
6,informal,-0.0008747967,0.04537488,0.078987226,0.055545554
7,informal,-0.021529146,0.05477413,0.078987226,0.055545554
8,informal,0.2198375,-0.2820622,0.078987226,0.055545554
9,informal,0.27333102,-0.17305538,0.078987226,0.055545554
10,informal,-0.12829678,0.01239718,0.078987226,0.055545554
11,informal,-0.12829678,0.01239718,0.078987226,0.055545554
12,informal,-0.12829678,0.01239718,0.078987226,0.055545554
13,informal,-0.12829678,0.01239718,0.078987226,0.055545554
14,informal,-0.12829678,0.01239718,0.078987226,0.055545554
15,informal,-0.04292375,-0.050395526,0.078987226,0.055545554
16,informal,-0.059257235,-0.06543936,0.078987226,0.055545554
17,informal,0.11191717,-0.13836882,0.078987226,0.055545554
18,informal,0.027282983,-0.12878734,0.078987226,0.055545554
19,informal,0.06805013,-0.15591656,0.078987226,0.055545554
20,informal,0.061396208,-0.11861088,0.078987226,0.055545554
21,informal,0.19528893,-0.13152738,0.078987226,0.055545554
22,informal,-0.031434756,-0.025489964,0.078987226,0.055545554
23,informal,-0.08846792,0.08572711,0.078987226,0.055545554
24,informal,-0.004517881,0.085477866,0.078987226,0.055545554
25,informal,0.0011017999,-0.060050808,0.078987226,0.055545554
26,informal,-0.020325914,-0.0024541388,0.078987226,0.055545554
27,informal,0.2761256,-0.16466165,0.078987226,0.055545554
28,informal,0.21863885,-0.12174009,0.078987226,0.055545554
29,informal,0.46601698,-0.06848139,0.078987226,0.055545554
30,informal,-0.24250133,0.012158812,0.078987226,0.055545554
31,informal,-0.21029335,0.23976749,0.078987226,0.055545554
32,informal,-0.17860061,0.07672076,0.078987226,0.055545554
33,informal,-0.26537487,0.19780315,0.078987226,0.055545554
34,informal,0.15856916,-0.4347125,0.078987226,0.055545554
35,informal,0.1396951,-0.42147672,0.078987226,0.055545554
36,informal,0.1344986,-0.42432064,0.078987226,0.055545554
37,informal,0.13974875,-0.4431133,0.078987226,0.055545554
38,informal,0.23248023,-0.4020441,0.078987226,0.055545554
39,informal,0.19005582,-0.42200595,0.078987226,0.055545554
40,informal,0.25232074,-0.40451357,0.078987226,0.055545554
41,informal,0.11999986,-0.24212083,0.078987226,0.055545554
42,informal,0.11999986,-0.24212083,0.078987226,0.055545554
43,informal,0.11999986,-0.24212083,0.078987226,0.055545554
44,informal,0.11999986,-0.24212083,0.078987226,0.055545554
45,informal,0.11999986,-0.24212083,0.078987226,0.055545554
46,informal,-0.10387538,0.085575595,0.078987226,0.055545554
47,informal,0.15179992,-0.18734899,0.078987226,0.055545554
48,informal,0.23920447,0.24818295,0.078987226,0.055545554
49,informal,0.24663492,0.10046148,0.078987226,0.055545554
50,informal,0.26560846,0.2289004,0.078987226,0.055545554
51,informal,0.29097408,0.25396648,0.078987226,0.055545554
52,informal,0.3126291,0.07073306,0.078987226,0.055545554
53,informal,0.45569238,-0.013262307,0.078987226,0.055545554
54,informal,0.5587318,-0.010448992,0.078987226,0.055545554
55,informal,0.55693054,-0.044333328,0.078987226,0.055545554
56,informal,0.5697613,-0.026726535,0.078987226,0.055545554
57,informal,0.5653871,0.0054612183,0.078987226,0.055545554
58,informal,0.5522861,-0.016778532,0.078987226,0.055545554
59,informal,0.5625939,-0.014868779,0.078987226,0.055545554
60,informal,0.5616436,-0.06928776,0.078987226,0.055545554
61,informal,0.5745087,-0.011843324,0.078987226,0.055545554
