Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:3 | acl:2 | advcl:1 | advmod:9 | amod:2 | aux:3 | case:3 | cc:2 | ccomp:1 | conj:1 | cop:1 | det:1 | dislocated:1 | mark:3 | nmod:2 | nsubj:3 | obj:4 | obl:3 | parataxis:1 | punct:7 | xcomp:1,ROOT:17 | advcl:4 | advmod:18 | amod:5 | aux:4 | case:10 | cc:5 | compound:prt:4 | conj:5 | cop:1 | csubj:1 | dep:1 | det:6 | expl:1 | fixed:5 | mark:7 | nmod:2 | nsubj:8 | nummod:1 | obj:14 | obl:6 | punct:20 | xcomp:3
ROOT:1 | case:1 | det:1 | nmod:1 | punct:2,ROOT:10 | acl:relcl:2 | advcl:2 | advmod:10 | amod:1 | aux:2 | case:9 | cc:3 | compound:prt:1 | conj:3 | cop:1 | det:4 | dislocated:1 | mark:1 | nmod:2 | nsubj:10 | nsubj:pass:1 | obj:3 | obl:7 | parataxis:1 | punct:12 | xcomp:1
ROOT:2 | advmod:3 | amod:2 | case:1 | cc:1 | nmod:1 | nsubj:1 | obl:1 | punct:2,ROOT:10 | advcl:3 | advmod:12 | amod:1 | aux:1 | case:13 | cc:1 | compound:prt:1 | conj:2 | det:4 | expl:1 | mark:1 | nmod:1 | nsubj:12 | obj:6 | obl:12 | punct:12 | xcomp:1
ROOT:1 | advmod:2 | dep:1 | nmod:1 | nmod:poss:1 | xcomp:1,ROOT:12 | acl:relcl:2 | advcl:2 | advmod:13 | amod:2 | case:8 | cc:3 | ccomp:1 | compound:prt:1 | conj:2 | det:3 | expl:2 | mark:9 | nmod:4 | nsubj:15 | obj:6 | obl:4 | punct:12 | xcomp:1
ROOT:1 | acl:1 | advmod:2 | cc:1 | conj:2 | cop:1 | mark:1 | nmod:poss:1 | nsubj:2 | punct:2,ROOT:20 | acl:1 | acl:relcl:2 | advcl:1 | advmod:18 | amod:5 | aux:1 | case:16 | cc:2 | compound:prt:2 | conj:1 | cop:4 | det:7 | expl:3 | mark:6 | nmod:8 | nmod:poss:1 | nsubj:19 | obj:9 | obl:8 | parataxis:1 | punct:30 | xcomp:1
ROOT:1 | advcl:1 | advmod:2 | amod:1 | aux:1 | case:2 | cop:1 | det:1 | nmod:1 | nsubj:2 | obl:1 | punct:3,ROOT:24 | acl:1 | acl:relcl:1 | advcl:2 | advmod:13 | amod:3 | appos:3 | aux:2 | case:12 | cc:4 | ccomp:2 | compound:prt:3 | conj:1 | cop:2 | det:4 | expl:1 | fixed:1 | mark:7 | nmod:7 | nmod:poss:1 | nsubj:12 | nsubj:pass:1 | nummod:1 | obj:5 | obl:8 | punct:26 | xcomp:3
ROOT:1 | amod:1 | case:1 | conj:1 | nmod:poss:1 | obj:1 | obl:1 | punct:2,ROOT:39 | advcl:2 | advmod:20 | amod:11 | aux:4 | case:27 | cc:5 | ccomp:1 | compound:prt:5 | conj:4 | cop:1 | det:11 | expl:1 | fixed:2 | mark:4 | nmod:9 | nsubj:20 | nummod:3 | obj:16 | obl:18 | parataxis:2 | punct:43 | xcomp:2
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:1 | case:1 | ccomp:1 | cop:1 | expl:1 | nmod:poss:1 | nsubj:3 | obl:1 | punct:1,ROOT:37 | advcl:1 | advmod:16 | amod:6 | aux:1 | case:17 | cc:2 | compound:prt:3 | conj:3 | cop:4 | det:10 | expl:1 | mark:2 | nmod:3 | nmod:poss:1 | nsubj:11 | nsubj:pass:3 | nummod:1 | obj:12 | obl:12 | punct:37 | xcomp:4
ROOT:1 | amod:1 | cop:1 | det:1 | nsubj:1 | punct:3,ROOT:13 | acl:relcl:1 | advcl:1 | advmod:4 | aux:1 | case:3 | ccomp:1 | cop:1 | mark:1 | nsubj:4 | nsubj:pass:1 | obl:1 | punct:14 | xcomp:2
ROOT:2 | advmod:1 | case:1 | conj:1 | cop:1 | nsubj:2 | obj:1 | punct:4,ROOT:15 | advcl:4 | advmod:4 | aux:3 | case:9 | cop:2 | det:1 | mark:3 | nmod:5 | nmod:poss:1 | nsubj:7 | nummod:1 | obj:1 | obl:1 | punct:15
ROOT:1 | acl:relcl:1 | advmod:2 | case:1 | cc:1 | conj:1 | cop:1 | csubj:1 | fixed:1 | nsubj:pass:1 | nummod:1 | obl:1 | parataxis:1 | punct:8,ROOT:24 | advcl:2 | advmod:4 | amod:1 | case:8 | cc:1 | ccomp:1 | cop:1 | dep:1 | det:2 | dislocated:1 | fixed:3 | flat:name:1 | mark:3 | nsubj:2 | obl:3 | punct:24 | xcomp:1
ROOT:2 | advmod:1 | case:1 | flat:name:1 | obl:1 | punct:3,ROOT:16 | acl:relcl:1 | advcl:1 | advmod:5 | aux:1 | case:5 | cop:2 | mark:1 | nmod:1 | nsubj:2 | obl:2 | punct:17
ROOT:1 | conj:2 | punct:3,ROOT:15 | acl:relcl:1 | advcl:4 | advmod:9 | aux:3 | case:9 | cc:5 | conj:4 | cop:1 | fixed:1 | mark:5 | nmod:5 | nsubj:7 | nummod:1 | obj:2 | obl:2 | punct:15 | xcomp:2
ROOT:1 | advmod:3 | cop:1 | dep:1 | det:1 | nsubj:1 | punct:1,ROOT:8 | acl:relcl:1 | advcl:1 | advmod:7 | amod:1 | appos:1 | case:6 | cc:2 | conj:1 | det:3 | fixed:1 | flat:name:6 | mark:2 | nmod:3 | nsubj:8 | obj:1 | obl:3 | punct:11 | xcomp:2
ROOT:3 | advcl:1 | advmod:3 | aux:2 | case:1 | cop:1 | flat:name:1 | mark:1 | nsubj:2 | obl:1 | punct:5,ROOT:9 | acl:relcl:1 | advmod:9 | amod:2 | case:8 | cc:2 | conj:1 | cop:2 | dep:1 | det:3 | expl:1 | flat:name:4 | mark:1 | nmod:4 | nmod:poss:1 | nsubj:6 | obj:5 | obl:4 | parataxis:2 | punct:11 | xcomp:1
ROOT:2 | acl:relcl:1 | advmod:3 | amod:1 | aux:1 | case:1 | nsubj:1 | obj:3 | obl:1 | punct:2,ROOT:7 | advcl:3 | advmod:8 | amod:1 | aux:1 | case:3 | cc:1 | conj:4 | cop:1 | det:3 | mark:5 | nmod:1 | nsubj:10 | obj:5 | obl:2 | parataxis:1 | punct:11 | xcomp:3
ROOT:3 | advcl:2 | advmod:5 | aux:2 | case:1 | cc:2 | conj:1 | cop:1 | det:1 | fixed:1 | mark:3 | nmod:1 | nsubj:4 | obj:3 | punct:2 | xcomp:1,ROOT:6 | acl:relcl:1 | advmod:4 | amod:2 | case:4 | cc:2 | conj:1 | fixed:2 | mark:2 | nmod:2 | nsubj:5 | obj:1 | obl:4 | punct:7 | xcomp:1
ROOT:1 | advcl:2 | advmod:2 | aux:2 | case:2 | ccomp:2 | compound:prt:2 | cop:1 | det:1 | mark:3 | nmod:poss:1 | nsubj:5 | obj:4 | obl:2 | punct:2,ROOT:6 | acl:relcl:2 | advmod:6 | amod:1 | aux:2 | case:3 | cc:4 | ccomp:1 | compound:prt:1 | conj:4 | cop:1 | det:1 | fixed:1 | mark:3 | nmod:1 | nsubj:8 | obj:3 | obl:3 | parataxis:1 | punct:8 | xcomp:1
ROOT:2 | amod:1 | case:1 | cop:1 | det:2 | fixed:1 | nsubj:1 | obj:1 | obl:1 | punct:2,ROOT:7 | acl:relcl:2 | advcl:1 | advmod:7 | amod:2 | aux:1 | case:4 | cc:3 | compound:prt:1 | conj:4 | det:1 | mark:4 | nmod:1 | nmod:poss:1 | nsubj:9 | nummod:1 | obj:2 | obl:4 | punct:9 | xcomp:2
ROOT:1 | advmod:5 | aux:1 | case:1 | det:1 | dislocated:1 | nsubj:2 | obj:1 | parataxis:1 | punct:2,ROOT:5 | acl:relcl:1 | advmod:4 | amod:2 | aux:2 | case:4 | cc:1 | ccomp:1 | compound:prt:1 | conj:2 | dep:1 | det:2 | mark:1 | nsubj:5 | obj:1 | obl:4 | punct:6 | xcomp:3
ROOT:2 | advmod:2 | amod:1 | aux:1 | case:1 | cc:1 | conj:1 | fixed:1 | nsubj:1 | obj:1 | obl:1 | punct:2,ROOT:14 | advcl:5 | advmod:16 | amod:6 | aux:2 | case:11 | cc:8 | compound:prt:2 | conj:12 | cop:3 | det:1 | expl:1 | mark:5 | nmod:6 | nmod:poss:1 | nsubj:11 | nsubj:pass:1 | obj:9 | obl:5 | parataxis:1 | punct:23
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:2 | amod:1 | aux:2 | case:4 | cc:1 | compound:prt:1 | conj:1 | mark:1 | nmod:2 | nsubj:3 | obj:1 | obl:2 | punct:1,ROOT:20 | acl:1 | advcl:7 | advmod:11 | amod:7 | aux:5 | case:14 | cc:7 | compound:prt:2 | conj:7 | cop:3 | det:2 | expl:1 | fixed:1 | mark:9 | nmod:3 | nsubj:11 | nsubj:pass:1 | obj:7 | obl:12 | punct:22 | xcomp:4
ROOT:2 | advcl:1 | advmod:2 | case:1 | cc:1 | conj:1 | cop:1 | mark:1 | nsubj:2 | punct:2,ROOT:16 | advcl:4 | advmod:13 | amod:4 | aux:3 | case:10 | cc:6 | compound:prt:2 | conj:7 | cop:4 | dep:1 | det:3 | dislocated:1 | expl:1 | fixed:2 | mark:5 | nmod:9 | nsubj:12 | obj:6 | obl:5 | punct:17 | xcomp:2
ROOT:4 | advcl:1 | advmod:5 | aux:1 | case:1 | cc:3 | conj:1 | cop:1 | mark:1 | nsubj:1 | nsubj:pass:1 | obj:2 | punct:5,ROOT:24 | acl:2 | advcl:3 | advmod:11 | amod:7 | aux:3 | case:12 | cc:11 | ccomp:1 | compound:prt:3 | conj:10 | cop:3 | dep:1 | det:3 | expl:1 | fixed:1 | mark:9 | nmod:7 | nsubj:7 | obj:9 | obl:6 | punct:27 | xcomp:3
ROOT:4 | acl:1 | advcl:2 | advmod:16 | amod:2 | appos:1 | aux:5 | case:6 | cc:3 | ccomp:1 | compound:prt:2 | conj:4 | cop:1 | det:4 | dislocated:1 | fixed:1 | iobj:1 | mark:6 | nmod:2 | nmod:poss:1 | nsubj:7 | obj:5 | obl:6 | punct:8 | xcomp:2,ROOT:17 | acl:relcl:2 | advcl:1 | advmod:14 | amod:3 | aux:4 | case:10 | cc:9 | compound:prt:1 | conj:8 | cop:1 | csubj:1 | det:3 | mark:4 | nmod:3 | nsubj:10 | obj:10 | obl:6 | punct:21 | xcomp:1
