group,POSITIVE_count,POSITIVE_proportion,NEUTRAL_count,NEUTRAL_proportion,NEGATIVE_count,NEGATIVE_proportion
Informal Human,24,0.11764705882352941,151,0.7401960784313726,29,0.14215686274509803
Informal LLM,14,0.06862745098039216,178,0.8725490196078431,12,0.058823529411764705
