group,token_length
Informal LLM,137
Informal LLM,110
Informal LLM,74
Informal LLM,74
Informal LLM,56
Informal LLM,136
Informal LLM,167
Informal LLM,144
Informal LLM,164
Informal LLM,51
Informal LLM,201
Informal LLM,158
Informal LLM,142
Informal LLM,143
Informal LLM,167
Informal LLM,23
Informal LLM,38
Informal LLM,24
Informal LLM,29
Informal LLM,29
Informal LLM,252
Informal LLM,233
Informal LLM,213
Informal LLM,201
Informal LLM,240
Informal LLM,86
Informal LLM,114
Informal LLM,109
Informal LLM,175
Informal LLM,149
Informal LLM,163
