Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:1 | acl:1 | advmod:2 | det:2 | nsubj:2 | obj:1 | punct:3,ROOT:17 | acl:1 | acl:cleft:1 | acl:relcl:4 | advcl:8 | advmod:37 | amod:8 | aux:9 | case:12 | cc:17 | ccomp:1 | compound:prt:4 | conj:16 | cop:9 | csubj:1 | dep:4 | det:11 | expl:3 | fixed:2 | iobj:2 | mark:13 | nmod:5 | nsubj:26 | nsubj:pass:1 | nummod:3 | obj:16 | obl:14 | parataxis:3 | punct:39 | xcomp:8
ROOT:3 | acl:2 | advcl:1 | advmod:9 | amod:2 | aux:3 | case:3 | cc:2 | ccomp:1 | conj:1 | cop:1 | det:1 | dislocated:1 | mark:3 | nmod:2 | nsubj:3 | obj:4 | obl:3 | parataxis:1 | punct:7 | xcomp:1,ROOT:10 | acl:1 | acl:relcl:2 | advcl:5 | advmod:23 | amod:14 | aux:5 | case:11 | cc:14 | ccomp:2 | compound:prt:1 | conj:14 | cop:11 | csubj:2 | dep:4 | det:10 | dislocated:1 | expl:1 | fixed:5 | mark:10 | nmod:3 | nmod:poss:1 | nsubj:17 | nummod:1 | obj:15 | obl:9 | punct:21 | xcomp:3
ROOT:1 | case:1 | det:1 | nmod:1 | punct:2,ROOT:4 | advcl:2 | advmod:13 | amod:2 | aux:1 | case:7 | cc:4 | compound:prt:1 | conj:4 | cop:1 | csubj:1 | dep:1 | det:3 | expl:2 | fixed:1 | mark:5 | nmod:4 | nsubj:4 | nummod:1 | obj:2 | obl:6 | punct:8 | xcomp:2
ROOT:2 | advmod:3 | amod:2 | case:1 | cc:1 | nmod:1 | nsubj:1 | obl:1 | punct:2,ROOT:8 | acl:2 | acl:relcl:1 | advcl:3 | advmod:14 | amod:3 | aux:1 | case:5 | cc:6 | ccomp:1 | compound:prt:1 | conj:6 | dep:1 | det:3 | expl:2 | fixed:1 | mark:8 | nmod:2 | nsubj:11 | obj:6 | obl:3 | parataxis:3 | punct:13 | xcomp:4
ROOT:1 | advmod:2 | dep:1 | nmod:1 | nmod:poss:1 | xcomp:1,ROOT:18 | acl:1 | acl:relcl:2 | advcl:1 | advmod:21 | amod:6 | aux:2 | case:17 | cc:6 | compound:prt:2 | conj:3 | cop:4 | csubj:1 | dep:11 | det:10 | expl:1 | fixed:1 | mark:7 | nmod:5 | nsubj:16 | obj:10 | obl:12 | parataxis:7 | punct:47 | xcomp:1
ROOT:1 | acl:1 | advmod:2 | cc:1 | conj:2 | cop:1 | mark:1 | nmod:poss:1 | nsubj:2 | punct:2,ROOT:8 | acl:2 | acl:relcl:2 | advcl:3 | advmod:23 | amod:5 | aux:4 | case:13 | cc:8 | conj:6 | cop:6 | dep:2 | det:4 | fixed:2 | mark:4 | nmod:5 | nsubj:24 | nsubj:pass:1 | obj:7 | obl:11 | parataxis:4 | punct:31 | xcomp:1
ROOT:1 | advcl:1 | advmod:2 | amod:1 | aux:1 | case:2 | cop:1 | det:1 | nmod:1 | nsubj:2 | obl:1 | punct:3,ROOT:7 | acl:1 | acl:relcl:1 | advcl:3 | advmod:15 | amod:3 | aux:2 | case:6 | cc:5 | conj:5 | cop:4 | det:8 | expl:1 | mark:7 | nmod:4 | nsubj:15 | nsubj:pass:1 | obj:5 | obl:4 | parataxis:2 | punct:26 | xcomp:3
ROOT:1 | amod:1 | case:1 | conj:1 | nmod:poss:1 | obj:1 | obl:1 | punct:2,ROOT:11 | acl:relcl:2 | advcl:2 | advmod:21 | amod:7 | aux:2 | case:17 | cc:14 | compound:prt:2 | conj:13 | cop:14 | dep:4 | det:6 | expl:6 | iobj:1 | mark:6 | nmod:7 | nsubj:24 | nsubj:pass:1 | obj:4 | obl:13 | parataxis:3 | punct:41 | xcomp:3
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:1 | case:1 | ccomp:1 | cop:1 | expl:1 | nmod:poss:1 | nsubj:3 | obl:1 | punct:1,ROOT:11 | acl:2 | acl:relcl:1 | advcl:4 | advmod:18 | amod:2 | aux:5 | case:8 | cc:9 | ccomp:1 | compound:prt:1 | conj:6 | cop:6 | det:2 | expl:2 | fixed:1 | mark:7 | nmod:3 | nmod:poss:1 | nsubj:18 | nsubj:pass:1 | obj:7 | obl:4 | parataxis:1 | punct:26 | xcomp:1
ROOT:1 | amod:1 | cop:1 | det:1 | nsubj:1 | punct:3,ROOT:4 | acl:2 | advcl:4 | advmod:8 | appos:1 | aux:2 | case:11 | cc:3 | ccomp:1 | conj:14 | cop:1 | det:2 | fixed:2 | mark:8 | nmod:1 | nsubj:6 | obj:2 | obl:7 | parataxis:2 | punct:33 | xcomp:3
ROOT:2 | advmod:1 | case:1 | conj:1 | cop:1 | nsubj:2 | obj:1 | punct:4,ROOT:2 | acl:relcl:1 | advcl:1 | advmod:7 | case:5 | cc:5 | conj:14 | cop:5 | csubj:1 | dislocated:1 | expl:1 | fixed:2 | mark:3 | nsubj:5 | obl:4 | punct:63 | xcomp:2
ROOT:1 | acl:relcl:1 | advmod:2 | case:1 | cc:1 | conj:1 | cop:1 | csubj:1 | fixed:1 | nsubj:pass:1 | nummod:1 | obl:1 | parataxis:1 | punct:8,ROOT:2 | advcl:2 | advmod:7 | appos:1 | aux:2 | case:7 | cc:2 | conj:3 | cop:4 | csubj:1 | mark:2 | nmod:1 | nsubj:4 | obj:1 | obl:5 | parataxis:3 | punct:33 | xcomp:3
ROOT:2 | advmod:1 | case:1 | flat:name:1 | obl:1 | punct:3,ROOT:3 | advcl:1 | advmod:12 | amod:1 | appos:1 | aux:3 | case:5 | cc:5 | conj:2 | cop:3 | csubj:1 | mark:2 | nmod:1 | nsubj:5 | obl:3 | obl:agent:1 | parataxis:3 | punct:34 | xcomp:3
ROOT:1 | conj:2 | punct:3,ROOT:2 | advmod:9 | aux:2 | case:4 | cc:1 | ccomp:1 | conj:11 | cop:2 | fixed:2 | mark:3 | nmod:1 | nsubj:6 | obj:1 | obl:4 | punct:65 | xcomp:1
ROOT:1 | advmod:3 | cop:1 | dep:1 | det:1 | nsubj:1 | punct:1,ROOT:7 | acl:relcl:1 | advmod:10 | amod:2 | appos:1 | case:5 | cc:5 | conj:6 | cop:1 | det:2 | expl:1 | flat:name:2 | nmod:4 | nsubj:3 | obj:4 | obl:2 | punct:14 | xcomp:1
ROOT:3 | advcl:1 | advmod:3 | aux:2 | case:1 | cop:1 | flat:name:1 | mark:1 | nsubj:2 | obl:1 | punct:5,ROOT:5 | acl:relcl:2 | advcl:3 | advmod:12 | amod:2 | aux:1 | case:3 | cc:6 | compound:prt:2 | conj:6 | cop:3 | csubj:1 | det:4 | expl:1 | flat:name:6 | mark:2 | nmod:2 | nsubj:8 | obj:4 | obl:4 | parataxis:2 | punct:14
ROOT:2 | acl:relcl:1 | advmod:3 | amod:1 | aux:1 | case:1 | nsubj:1 | obj:3 | obl:1 | punct:2,ROOT:3 | acl:relcl:3 | advmod:10 | amod:1 | aux:1 | case:4 | cc:3 | conj:4 | cop:4 | det:4 | expl:2 | mark:2 | nsubj:7 | obl:4 | punct:8 | xcomp:1
ROOT:3 | advcl:2 | advmod:5 | aux:2 | case:1 | cc:2 | conj:1 | cop:1 | det:1 | fixed:1 | mark:3 | nmod:1 | nsubj:4 | obj:3 | punct:2 | xcomp:1,ROOT:4 | acl:relcl:3 | advcl:1 | advmod:4 | amod:2 | aux:1 | case:4 | cc:2 | conj:3 | csubj:1 | det:5 | expl:1 | mark:5 | nmod:4 | nsubj:5 | obj:3 | obl:3 | punct:7 | xcomp:1
ROOT:1 | advcl:2 | advmod:2 | aux:2 | case:2 | ccomp:2 | compound:prt:2 | cop:1 | det:1 | mark:3 | nmod:poss:1 | nsubj:5 | obj:4 | obl:2 | punct:2,ROOT:5 | acl:2 | acl:relcl:1 | advcl:1 | advmod:5 | amod:2 | aux:2 | case:4 | cc:2 | ccomp:1 | compound:prt:2 | conj:3 | det:4 | expl:1 | mark:6 | nmod:2 | nsubj:2 | nsubj:pass:1 | obj:2 | obl:3 | punct:6 | xcomp:3
ROOT:2 | amod:1 | case:1 | cop:1 | det:2 | fixed:1 | nsubj:1 | obj:1 | obl:1 | punct:2,ROOT:4 | acl:relcl:2 | advcl:1 | advmod:5 | amod:1 | case:3 | cc:2 | conj:3 | cop:1 | det:4 | mark:1 | nmod:3 | nsubj:4 | obj:4 | obl:1 | parataxis:1 | punct:6 | xcomp:4
ROOT:1 | advmod:5 | aux:1 | case:1 | det:1 | dislocated:1 | nsubj:2 | obj:1 | parataxis:1 | punct:2,ROOT:4 | acl:relcl:2 | advcl:1 | advmod:6 | amod:3 | case:2 | cc:3 | compound:prt:2 | conj:2 | cop:1 | dep:1 | det:4 | fixed:2 | mark:2 | nsubj:6 | obj:8 | obl:2 | parataxis:1 | punct:8
ROOT:2 | advmod:2 | amod:1 | aux:1 | case:1 | cc:1 | conj:1 | fixed:1 | nsubj:1 | obj:1 | obl:1 | punct:2,ROOT:11 | acl:relcl:2 | advcl:11 | advmod:21 | amod:15 | appos:5 | aux:3 | case:15 | cc:11 | compound:prt:3 | conj:14 | cop:6 | csubj:1 | dep:3 | det:5 | expl:2 | fixed:2 | mark:13 | nmod:4 | nmod:poss:3 | nsubj:15 | nsubj:pass:1 | obj:9 | obl:9 | parataxis:2 | punct:31 | xcomp:3
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:2 | amod:1 | aux:2 | case:4 | cc:1 | compound:prt:1 | conj:1 | mark:1 | nmod:2 | nsubj:3 | obj:1 | obl:2 | punct:1,ROOT:6 | acl:1 | acl:relcl:1 | advcl:4 | advmod:20 | amod:9 | appos:1 | aux:3 | case:10 | cc:17 | compound:prt:3 | conj:16 | cop:5 | dep:1 | det:3 | dislocated:2 | fixed:1 | mark:4 | nmod:5 | nsubj:9 | obj:6 | obl:9 | parataxis:3 | punct:21 | xcomp:4
ROOT:2 | advcl:1 | advmod:2 | case:1 | cc:1 | conj:1 | cop:1 | mark:1 | nsubj:2 | punct:2,ROOT:7 | acl:1 | acl:relcl:1 | advcl:7 | advmod:29 | amod:9 | appos:8 | aux:8 | case:15 | cc:15 | ccomp:1 | compound:prt:1 | conj:22 | cop:8 | dep:8 | det:7 | dislocated:2 | expl:1 | fixed:1 | mark:10 | nmod:11 | nsubj:15 | obj:11 | obl:7 | parataxis:7 | punct:65 | xcomp:4
ROOT:4 | advcl:1 | advmod:5 | aux:1 | case:1 | cc:3 | conj:1 | cop:1 | mark:1 | nsubj:1 | nsubj:pass:1 | obj:2 | punct:5,ROOT:7 | acl:1 | acl:relcl:1 | advcl:4 | advmod:24 | amod:4 | aux:3 | case:9 | cc:17 | compound:prt:5 | conj:21 | cop:10 | csubj:2 | dep:2 | det:6 | dislocated:1 | expl:4 | fixed:3 | mark:10 | nmod:4 | nsubj:16 | nummod:1 | obj:14 | obl:7 | parataxis:4 | punct:22 | xcomp:4
