Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:1 | acl:1 | advmod:2 | det:2 | nsubj:2 | obj:1 | punct:3,ROOT:14 | acl:cleft:2 | acl:relcl:4 | advcl:5 | advmod:22 | amod:5 | appos:1 | aux:5 | case:11 | cc:12 | ccomp:2 | compound:prt:3 | conj:16 | cop:6 | det:7 | expl:3 | fixed:1 | mark:8 | nmod:2 | nmod:poss:3 | nsubj:21 | nsubj:pass:1 | nummod:1 | obj:15 | obl:10 | parataxis:1 | punct:35 | xcomp:3
ROOT:3 | acl:2 | advcl:1 | advmod:9 | amod:2 | aux:3 | case:3 | cc:2 | ccomp:1 | conj:1 | cop:1 | det:1 | dislocated:1 | mark:3 | nmod:2 | nsubj:3 | obj:4 | obl:3 | parataxis:1 | punct:7 | xcomp:1,ROOT:19 | acl:relcl:2 | advcl:6 | advmod:36 | amod:7 | aux:8 | case:15 | cc:17 | ccomp:2 | compound:prt:3 | conj:18 | cop:6 | csubj:1 | det:10 | expl:2 | fixed:5 | mark:8 | nmod:1 | nmod:poss:2 | nsubj:23 | obj:18 | obl:14 | parataxis:2 | punct:37 | xcomp:3
ROOT:1 | case:1 | det:1 | nmod:1 | punct:2,ROOT:9 | advcl:3 | advmod:13 | amod:4 | case:6 | cc:6 | compound:prt:4 | conj:8 | dep:1 | det:4 | expl:1 | fixed:1 | mark:4 | nmod:2 | nsubj:9 | nummod:1 | obj:5 | obl:6 | parataxis:1 | punct:13 | xcomp:3
ROOT:2 | advmod:3 | amod:2 | case:1 | cc:1 | nmod:1 | nsubj:1 | obl:1 | punct:2,ROOT:8 | acl:relcl:2 | advcl:4 | advmod:15 | amod:4 | case:12 | cc:4 | ccomp:1 | compound:prt:2 | conj:3 | cop:2 | dep:2 | det:7 | mark:4 | nmod:6 | nsubj:15 | obj:3 | obl:7 | punct:15 | xcomp:3
ROOT:1 | advmod:2 | dep:1 | nmod:1 | nmod:poss:1 | xcomp:1,ROOT:14 | acl:relcl:2 | advcl:5 | advmod:22 | amod:6 | appos:2 | aux:4 | case:12 | cc:12 | ccomp:1 | compound:prt:2 | conj:10 | cop:10 | dep:3 | det:8 | expl:4 | mark:9 | nmod:7 | nsubj:27 | obj:11 | obl:10 | parataxis:3 | punct:52 | xcomp:1
ROOT:1 | acl:1 | advmod:2 | cc:1 | conj:2 | cop:1 | mark:1 | nmod:poss:1 | nsubj:2 | punct:2,ROOT:9 | advcl:4 | advmod:26 | amod:5 | appos:1 | aux:1 | case:7 | cc:9 | ccomp:1 | compound:prt:1 | conj:11 | cop:7 | dep:1 | det:6 | expl:5 | fixed:3 | mark:8 | nmod:5 | nsubj:21 | nsubj:pass:1 | nummod:1 | obj:9 | obl:6 | parataxis:4 | punct:42 | xcomp:6
ROOT:1 | advcl:1 | advmod:2 | amod:1 | aux:1 | case:2 | cop:1 | det:1 | nmod:1 | nsubj:2 | obl:1 | punct:3,ROOT:12 | advcl:5 | advmod:23 | amod:7 | aux:3 | case:10 | cc:10 | conj:8 | cop:5 | dep:1 | det:5 | expl:1 | mark:11 | nmod:4 | nmod:poss:1 | nsubj:22 | obj:8 | obl:9 | parataxis:6 | punct:40 | xcomp:1
ROOT:1 | amod:1 | case:1 | conj:1 | nmod:poss:1 | obj:1 | obl:1 | punct:2,ROOT:6 | acl:2 | advcl:3 | advmod:22 | amod:4 | appos:2 | aux:4 | case:12 | cc:7 | ccomp:1 | compound:prt:3 | conj:10 | cop:10 | dep:3 | det:5 | dislocated:1 | expl:3 | fixed:3 | iobj:1 | mark:9 | nmod:7 | nsubj:20 | obj:5 | obl:12 | parataxis:4 | punct:39 | xcomp:3
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:1 | case:1 | ccomp:1 | cop:1 | expl:1 | nmod:poss:1 | nsubj:3 | obl:1 | punct:1,ROOT:13 | acl:1 | acl:relcl:1 | advcl:2 | advmod:21 | amod:5 | appos:1 | aux:3 | case:8 | cc:8 | compound:prt:2 | conj:8 | cop:6 | det:8 | dislocated:1 | expl:1 | fixed:1 | mark:8 | nmod:2 | nmod:poss:1 | nsubj:21 | nsubj:pass:1 | obj:6 | obl:10 | parataxis:2 | punct:39 | xcomp:3
ROOT:1 | amod:1 | cop:1 | det:1 | nsubj:1 | punct:3,ROOT:4 | acl:cleft:1 | advcl:5 | advmod:8 | amod:1 | appos:1 | aux:3 | case:3 | cc:2 | ccomp:2 | conj:2 | cop:5 | csubj:2 | dep:1 | expl:1 | mark:8 | nmod:1 | nsubj:10 | obj:3 | obl:2 | punct:19 | xcomp:1
