Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.0833 | ADV:0.0833 | DET:0.1667 | NOUN:0.1667 | PART:0.0833 | PROPN:0.0833 | PUNCT:0.2500 | VERB:0.0833,ADJ:0.0849 | ADP:0.0660 | ADV:0.1226 | AUX:0.0660 | CCONJ:0.0377 | DET:0.0660 | INTJ:0.0094 | NOUN:0.1226 | NUM:0.0094 | PART:0.0283 | PRON:0.1038 | PUNCT:0.1321 | SCONJ:0.0189 | VERB:0.1321,12,106
ADJ:0.0556 | ADP:0.0741 | ADV:0.2222 | AUX:0.0926 | CCONJ:0.0370 | DET:0.0185 | NOUN:0.1111 | PART:0.0370 | PRON:0.0741 | PUNCT:0.1296 | SCONJ:0.0185 | VERB:0.1296,ADJ:0.0811 | ADP:0.0608 | ADV:0.1014 | AUX:0.0541 | CCONJ:0.0338 | DET:0.0473 | NOUN:0.1351 | PART:0.0338 | PRON:0.1622 | PUNCT:0.1149 | SCONJ:0.0338 | VERB:0.1419,54,148
ADP:0.1667 | DET:0.1667 | NOUN:0.3333 | PUNCT:0.3333,ADJ:0.0526 | ADP:0.0526 | ADV:0.1158 | AUX:0.0421 | CCONJ:0.0316 | DET:0.0632 | NOUN:0.2000 | PART:0.0105 | PRON:0.1158 | PROPN:0.0105 | PUNCT:0.1368 | SCONJ:0.0421 | VERB:0.1263,6,95
ADJ:0.0714 | ADP:0.0714 | ADV:0.1429 | CCONJ:0.0714 | NOUN:0.2143 | PART:0.0714 | PRON:0.0714 | PUNCT:0.1429 | VERB:0.1429,ADJ:0.0693 | ADP:0.0594 | ADV:0.2079 | AUX:0.0495 | CCONJ:0.0297 | DET:0.0396 | NOUN:0.1386 | PART:0.0099 | PRON:0.1188 | PROPN:0.0198 | PUNCT:0.1287 | SCONJ:0.0198 | VERB:0.1089,14,101
ADV:0.2857 | NOUN:0.4286 | PART:0.1429 | PROPN:0.1429,ADJ:0.0500 | ADP:0.0900 | ADV:0.1300 | AUX:0.0300 | CCONJ:0.0100 | DET:0.0400 | NOUN:0.1400 | PART:0.0200 | PRON:0.1200 | PROPN:0.0200 | PUNCT:0.2100 | SCONJ:0.0300 | VERB:0.1100,7,100
ADV:0.1429 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.2857 | PRON:0.1429 | PUNCT:0.1429 | SCONJ:0.0714 | VERB:0.0714,ADJ:0.0631 | ADP:0.0811 | ADV:0.0901 | AUX:0.0541 | DET:0.0631 | NOUN:0.1441 | NUM:0.0090 | PART:0.0090 | PRON:0.1171 | PROPN:0.0180 | PUNCT:0.1802 | SCONJ:0.0450 | VERB:0.1261,14,111
ADJ:0.0588 | ADP:0.1176 | ADV:0.1765 | AUX:0.1176 | DET:0.0588 | NOUN:0.1765 | PRON:0.0588 | PUNCT:0.1765 | VERB:0.0588,ADJ:0.0721 | ADP:0.0541 | ADV:0.1441 | AUX:0.0541 | CCONJ:0.0360 | DET:0.0270 | NOUN:0.1171 | NUM:0.0090 | PART:0.0180 | PRON:0.1171 | PROPN:0.0090 | PUNCT:0.2162 | SCONJ:0.0090 | VERB:0.1171,17,111
ADJ:0.1111 | ADP:0.1111 | NOUN:0.2222 | PRON:0.2222 | PUNCT:0.2222 | VERB:0.1111,ADJ:0.0642 | ADP:0.0459 | ADV:0.1560 | AUX:0.0275 | CCONJ:0.0275 | DET:0.0275 | NOUN:0.1009 | PART:0.0367 | PRON:0.1468 | PROPN:0.0092 | PUNCT:0.1927 | SCONJ:0.0183 | VERB:0.1468,9,109
ADJ:0.0714 | ADP:0.0714 | AUX:0.0714 | NOUN:0.1429 | PRON:0.2143 | PROPN:0.1429 | PUNCT:0.0714 | VERB:0.2143,ADJ:0.0938 | ADP:0.0547 | ADV:0.0859 | AUX:0.0547 | CCONJ:0.0234 | DET:0.0469 | NOUN:0.1172 | NUM:0.0078 | PART:0.0312 | PRON:0.1016 | PROPN:0.0078 | PUNCT:0.1953 | SCONJ:0.0469 | VERB:0.1328,14,128
ADJ:0.1250 | AUX:0.1250 | DET:0.1250 | NOUN:0.2500 | PUNCT:0.3750,ADJ:0.0952 | ADP:0.0595 | ADV:0.1667 | AUX:0.0595 | CCONJ:0.0238 | DET:0.0119 | NOUN:0.0595 | PART:0.0119 | PRON:0.1190 | PROPN:0.0119 | PUNCT:0.2619 | SCONJ:0.0238 | VERB:0.0952,8,84
ADJ:0.0769 | ADP:0.0769 | AUX:0.0769 | NOUN:0.1538 | PART:0.0769 | PRON:0.1538 | PUNCT:0.3077 | VERB:0.0769,ADJ:0.0921 | ADP:0.0263 | ADV:0.0921 | AUX:0.0395 | CCONJ:0.0395 | DET:0.0263 | NOUN:0.1053 | PART:0.0132 | PRON:0.1184 | PROPN:0.0132 | PUNCT:0.2500 | SCONJ:0.0526 | VERB:0.1316,13,76
ADJ:0.1364 | ADP:0.0455 | ADV:0.1364 | AUX:0.0455 | CCONJ:0.0455 | NOUN:0.0455 | PRON:0.0909 | PROPN:0.0455 | PUNCT:0.3636 | VERB:0.0455,ADJ:0.1020 | ADP:0.0408 | ADV:0.1735 | AUX:0.0816 | CCONJ:0.0510 | INTJ:0.0204 | NOUN:0.0612 | PART:0.0102 | PRON:0.1020 | PROPN:0.0102 | PUNCT:0.2245 | SCONJ:0.0102 | VERB:0.1122,22,98
ADJ:0.1111 | ADP:0.1111 | ADV:0.1111 | NOUN:0.1111 | PROPN:0.2222 | PUNCT:0.3333,ADJ:0.0583 | ADP:0.0680 | ADV:0.1553 | AUX:0.0194 | CCONJ:0.0388 | DET:0.0097 | NOUN:0.0680 | PART:0.0194 | PRON:0.1262 | PROPN:0.0097 | PUNCT:0.2330 | SCONJ:0.0485 | VERB:0.1456,9,103
ADJ:0.5000 | PUNCT:0.5000,ADJ:0.0928 | ADP:0.0722 | ADV:0.0825 | AUX:0.0619 | CCONJ:0.0412 | DET:0.0206 | NOUN:0.1237 | PART:0.0103 | PRON:0.1340 | PROPN:0.0103 | PUNCT:0.2062 | SCONJ:0.0309 | VERB:0.1134,6,97
ADJ:0.1111 | ADV:0.2222 | AUX:0.1111 | DET:0.1111 | NOUN:0.3333 | PUNCT:0.1111,ADJ:0.0833 | ADP:0.0595 | ADV:0.0833 | AUX:0.0595 | CCONJ:0.0595 | DET:0.1071 | NOUN:0.1429 | PRON:0.0595 | PROPN:0.1071 | PUNCT:0.1190 | SCONJ:0.0357 | VERB:0.0833,9,84
ADJ:0.0476 | ADP:0.0476 | ADV:0.1429 | AUX:0.1429 | NOUN:0.0476 | PRON:0.0476 | PROPN:0.1905 | PUNCT:0.2381 | SCONJ:0.0476 | VERB:0.0476,ADJ:0.0500 | ADP:0.0800 | ADV:0.1200 | AUX:0.0400 | CCONJ:0.0500 | DET:0.0900 | INTJ:0.0100 | NOUN:0.1400 | PRON:0.1300 | PROPN:0.0300 | PUNCT:0.1100 | SCONJ:0.0500 | VERB:0.1000,21,100
ADJ:0.0625 | ADP:0.0625 | ADV:0.1250 | AUX:0.0625 | PART:0.0625 | PRON:0.2500 | PROPN:0.1250 | PUNCT:0.1250 | VERB:0.1250,ADJ:0.0328 | ADP:0.0656 | ADV:0.1967 | AUX:0.0492 | CCONJ:0.0656 | DET:0.0164 | NOUN:0.0984 | PART:0.0328 | PRON:0.1148 | PUNCT:0.1311 | SCONJ:0.0820 | VERB:0.1148,16,61
ADJ:0.0303 | ADP:0.0303 | ADV:0.1515 | AUX:0.0909 | CCONJ:0.0606 | DET:0.0606 | NOUN:0.1515 | PART:0.0303 | PRON:0.1212 | PUNCT:0.0606 | SCONJ:0.0909 | VERB:0.1212,ADJ:0.0615 | ADP:0.1077 | ADV:0.1385 | AUX:0.0154 | CCONJ:0.0308 | DET:0.0462 | INTJ:0.0154 | NOUN:0.0923 | PART:0.0154 | PRON:0.1692 | PROPN:0.0308 | PUNCT:0.0923 | SCONJ:0.0615 | VERB:0.1231,33,65
ADP:0.1250 | ADV:0.0312 | AUX:0.0938 | DET:0.0312 | NOUN:0.1875 | PART:0.0312 | PRON:0.2188 | PUNCT:0.0625 | SCONJ:0.0938 | VERB:0.1250,ADJ:0.0536 | ADP:0.0357 | ADV:0.0893 | AUX:0.0714 | CCONJ:0.0357 | DET:0.0536 | NOUN:0.1607 | PART:0.0536 | PRON:0.1607 | PUNCT:0.1071 | SCONJ:0.0357 | VERB:0.1429,32,56
ADJ:0.0769 | ADP:0.0769 | ADV:0.0769 | AUX:0.0769 | DET:0.1538 | NOUN:0.2308 | PRON:0.0769 | PUNCT:0.1538 | VERB:0.0769,ADJ:0.0694 | ADP:0.0694 | ADV:0.1111 | AUX:0.0694 | CCONJ:0.0139 | DET:0.0278 | INTJ:0.0139 | NOUN:0.1806 | PART:0.0417 | PRON:0.1389 | PROPN:0.0278 | PUNCT:0.1389 | SCONJ:0.0139 | VERB:0.0833,13,72
ADP:0.0625 | ADV:0.1875 | AUX:0.0625 | DET:0.0625 | NOUN:0.0625 | PART:0.1250 | PRON:0.1250 | PUNCT:0.1250 | VERB:0.1875,ADJ:0.0714 | ADP:0.0179 | ADV:0.1250 | AUX:0.0893 | CCONJ:0.0357 | DET:0.0179 | INTJ:0.0357 | NOUN:0.0893 | PART:0.0357 | PRON:0.0893 | PROPN:0.0179 | PUNCT:0.1786 | SCONJ:0.0357 | VERB:0.1607,16,56
ADJ:0.0667 | ADP:0.0667 | ADV:0.1333 | AUX:0.1333 | CCONJ:0.0667 | NOUN:0.1333 | PROPN:0.1333 | PUNCT:0.1333 | VERB:0.1333,ADJ:0.1000 | ADP:0.0778 | ADV:0.0889 | AUX:0.0778 | CCONJ:0.0222 | DET:0.0222 | INTJ:0.0111 | NOUN:0.1889 | PART:0.0111 | PRON:0.1222 | PROPN:0.0111 | PUNCT:0.1000 | SCONJ:0.0222 | VERB:0.1444,15,90
ADJ:0.0400 | ADP:0.1600 | ADV:0.0800 | AUX:0.0800 | CCONJ:0.0400 | NOUN:0.2000 | PART:0.0400 | PRON:0.1200 | PROPN:0.0400 | PUNCT:0.0400 | SCONJ:0.0400 | VERB:0.1200,ADJ:0.1053 | ADP:0.0842 | ADV:0.0842 | AUX:0.0421 | CCONJ:0.0526 | DET:0.0316 | INTJ:0.0105 | NOUN:0.1789 | PART:0.0211 | PRON:0.0737 | PROPN:0.0421 | PUNCT:0.1263 | SCONJ:0.0211 | VERB:0.1263,25,95
ADJ:0.1429 | ADP:0.0714 | ADV:0.0714 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.1429 | PRON:0.0714 | PROPN:0.0714 | PUNCT:0.1429 | SCONJ:0.0714 | VERB:0.0714,ADJ:0.0877 | ADP:0.0526 | ADV:0.1316 | AUX:0.0439 | CCONJ:0.0439 | DET:0.0351 | INTJ:0.0088 | NOUN:0.1228 | PART:0.0263 | PRON:0.1228 | PROPN:0.0439 | PUNCT:0.1228 | SCONJ:0.0175 | SPACE:0.0088 | VERB:0.1316,14,114
ADJ:0.0370 | ADP:0.0370 | ADV:0.2593 | AUX:0.1481 | CCONJ:0.0370 | NOUN:0.1481 | PRON:0.0741 | PUNCT:0.1852 | VERB:0.0741,ADJ:0.0690 | ADP:0.1172 | ADV:0.1103 | AUX:0.0483 | CCONJ:0.0414 | DET:0.0414 | NOUN:0.1448 | PART:0.0276 | PRON:0.1379 | PROPN:0.0207 | PUNCT:0.1172 | SCONJ:0.0207 | VERB:0.1034,27,145
ADJ:0.0652 | ADP:0.0978 | ADV:0.1522 | AUX:0.0652 | CCONJ:0.0326 | DET:0.0435 | NOUN:0.1413 | NUM:0.0109 | PART:0.0326 | PRON:0.0978 | PROPN:0.0217 | PUNCT:0.0870 | SCONJ:0.0326 | VERB:0.1196,ADJ:0.0693 | ADP:0.1089 | ADV:0.0990 | AUX:0.0198 | CCONJ:0.0495 | DET:0.0693 | INTJ:0.0099 | NOUN:0.1782 | PART:0.0396 | PRON:0.0594 | PROPN:0.0495 | PUNCT:0.1089 | SCONJ:0.0297 | VERB:0.1089,92,101
ADP:0.0833 | ADV:0.0833 | NOUN:0.2500 | PROPN:0.1667 | PUNCT:0.3333 | VERB:0.0833,ADJ:0.0692 | ADP:0.0692 | ADV:0.1231 | AUX:0.0385 | CCONJ:0.0615 | DET:0.0923 | NOUN:0.1538 | NUM:0.0077 | PART:0.0462 | PRON:0.0385 | PROPN:0.0077 | PUNCT:0.1154 | SCONJ:0.0154 | SPACE:0.0154 | VERB:0.1462,12,130
ADJ:0.0278 | ADP:0.0833 | ADV:0.0833 | AUX:0.0278 | CCONJ:0.0556 | NOUN:0.2222 | PRON:0.0278 | PROPN:0.0833 | PUNCT:0.0833 | SYM:0.2222 | VERB:0.0833,ADJ:0.0420 | ADP:0.0924 | ADV:0.1681 | AUX:0.0168 | CCONJ:0.0504 | DET:0.0672 | NOUN:0.1345 | PART:0.0420 | PRON:0.0924 | PROPN:0.0252 | PUNCT:0.1008 | SCONJ:0.0168 | VERB:0.1513,36,119
ADJ:0.0682 | ADP:0.1364 | ADV:0.1136 | AUX:0.0909 | CCONJ:0.0682 | NOUN:0.1364 | PART:0.0227 | PRON:0.0909 | PROPN:0.0227 | PUNCT:0.0455 | SCONJ:0.0455 | VERB:0.1591,ADJ:0.0507 | ADP:0.0652 | ADV:0.1377 | AUX:0.0797 | CCONJ:0.0217 | DET:0.0362 | NOUN:0.1014 | NUM:0.0072 | PART:0.0362 | PRON:0.1812 | PUNCT:0.0870 | SCONJ:0.0290 | VERB:0.1667,44,138
ADP:0.1765 | ADV:0.1176 | NOUN:0.1176 | PART:0.1176 | PRON:0.1765 | PUNCT:0.1176 | VERB:0.1765,ADJ:0.0687 | ADP:0.0763 | ADV:0.1298 | AUX:0.0763 | CCONJ:0.0305 | DET:0.0076 | NOUN:0.1145 | PART:0.0458 | PRON:0.1679 | PUNCT:0.0916 | SCONJ:0.0229 | VERB:0.1679,17,131
ADJ:0.0548 | ADP:0.1233 | ADV:0.1370 | AUX:0.0685 | CCONJ:0.0137 | DET:0.0274 | NOUN:0.1781 | NUM:0.0137 | PART:0.0411 | PRON:0.1233 | PROPN:0.0274 | PUNCT:0.0685 | SCONJ:0.0137 | VERB:0.1096,ADJ:0.0630 | ADP:0.0866 | ADV:0.1102 | AUX:0.0394 | CCONJ:0.0315 | DET:0.0315 | NOUN:0.1417 | PART:0.0157 | PRON:0.1890 | PROPN:0.0079 | PUNCT:0.0787 | SCONJ:0.0315 | VERB:0.1732,73,127
