Topic,Count,Name,Representation,Representative_Docs
-1,28,-1_och_av_att_som,"['och', 'av', 'att', 'som', 'är', 'på', 'de', 'med', 'för', 'en']","['I denna studie har utveckling av sportfisket i Motala ström, den del som rinner genom Norrköpings centralort, studerats. Det finns i dag hinder för fisken som gör att den inte kommer upp till sina forna lek- och uppväxtplatser. Motala ström avvattnar Vättern vid utloppet i Motala och fortsätter sedan österut mot Bråviken. Strömfårans fall genom Norrköping är betydande och i naturligt tillstånd består av den av strömmande vatten. De nedre delarna av Motala ström och anslutande delar av Bråviken lämnar en särskilt gynnsam miljö för laxartade fiskar. Fisket i Motala ström har pågått i flera hundra år men i början av 1900-talet försvann den vilda populationen på grund av föroreningar och en hård reglering av strömmen. I dag finns det två kraftverk som har större kapacitet än någon av de tidigare. Kraftverken producerar varje år 122 GWh eller lika mycket ström som går åt för att förse Norrköping med hushållsel. När man talar om tvister mellan olika intressen och när denna konflikt handlar om en naturresurs, kommer man lätt in på etiska och moraliska frågor. Det finns en gren av etiken som hanterar miljöetiska frågor. Denna gren har två olika huvudinriktningar kopplade till hur de ser på förhållandet mellan människan och naturen. Det gäller antropocentrism, som hävdar att bara människor har ett inneboende värde. Medan icke- antropocentrister anser att det finns varelser förutom människan som har ett instrumentellt värde. I fallet med Motala ström och dess flöde genom Norrköping är det framförallt tre olika intressen som agerar mot varandra. Jag har koncentrerat mig på att göra intervjuer med representanter från dessa intressegrupper och försöka få en uppfattning om hur de ser på saken. Intervjuerna har varit öppna och de inledande frågor har varit samma för alla informanterna. Jag har även tagit del av de vattenhushållningsbestämmelser som gäller för Motala ström och den del som rinner genom Norrköping samt andra dokument för att få en uppfattning om de tvister som finns kring Motala ströms passage genom Norrköping. Resultaten från studien visar att vattenkraften i Motala ström kommer att brukas som elproducent under lång tid. Det skulle kosta för mycket pengar att ändra vattenflöden så att en självreproduktion av fisk kan ske, och det har varken kommunen eller kraftbolaget råd med. Det ökade vattenflödena som en planerad självreproduktion skulle innebära, kan även påverka kulturmiljön och de estetiska värdena på ett oönskat sätt. I denna studie har jag kommit fram till att det inte går att både ha en vacker och en levande stad. I alla fall inte om man ska följa de lagar som är uppsatta. Det finns vattenflödesbestämmelser och det finns miniminivåer för vattnet. Dessa är reglerade av lagar och de är svåra att ändra på', 'Föreliggande rapport redovisar resultat från den svenska pilotstudien inom det internationella s.k. SINR-projektet (Societal Images of Natural Recovery). Detta projekt syftar till ökad kunskap om hur olika synsätt, hos allmänheten såväl som inom olika professionella grupper, påverkar människor möjligheter att komma tillrätta med olika former av missbruk. Som ett första steg i projektet har i hittills sex större städer i fem olika länder ett mindre antal svarande, representerande olika samhällsgrupper, tillfrågats om sin uppfattning om möjligheterna att på egen hand ta sig ur olika slag av missbruksproblem. Den svenska pilotstudien har, på uppdrag av FoU-enheten, av tre socionomstuderande vid Stockholms universitet i form av ett examensarbete. Rapporten innehåller inledningsvis en översiktlig sammanfattning av förekommande perspektiv på olika former av missbruk, av aktuell forskning om s.k. ”självläkning” (”natural recovery”) från sådana problem, och av attributionsteori och attributionsforskning. Därefter redovisas resultat den svenska pilotstudien. Denna bygger på intervjuer med femton personer, representerande fem olika samhällssektorer: ”behandling”, ”kontroll”, ”vardagsterapeuter”, ”media” och ”allmänhet”. De frågor som står i fokus är respondenternas syn på möjligheten till ”självläkning” från elva olika former av missbruksproblem och vad de upplever som de största hindren mot effektiva lösningar på dessa problem. Svaren relateras också till eventuella erfarenheter (egna eller närståendes) av de aktuella problemen. Bland de mest intressanta resultaten är att de svarande tämligen genomgående ser ”illegala” beroendeproblem (olika narkotiska preparat) som betydligt svårare att komma tillrätta med än ”legala” sådana (alkohol, tobak, spel, shopping). På samma sätt uppfattas substansrelaterade beroenden ganska genomgående som betydligt svårare än beteenderelaterade sådana (spel och shopping). Om man ser till specifika former av missbruk finns ett starkt samband mellan de svarandes (negativa) syn på möjligheten att sluta med amfetamin, kokain och heroin. Däremot uppfattas cannabis som nästan lika lätt att sluta med som rökning, det beroende som de svarande i genomsnitt uppfattar det som allra lättast att komma tillrätta med. Representanterna för behandlingsområdet är, intressant nog, ganska genomgående de mest pessimistiska när det gäller möjligheten att ta sig ur ett missbruk på egen hand, medan mediarepresentanterna är de mest optimistiska. Sammantagna antyder resultaten att människor ganska lätt införlivar den officiella och av media reproducerade bilden av olika självdestruktiva beteenden. Samtidigt indikerar skillnaderna mellan olika grupper av svarande att uppfattningarna i vissa avseenden skiljer sig påtagligt åt mellan olika samhällssektorer, något som pekar på behovet av fortsatta, mer ingående studier på detta område. I ett avslutande Appendix görs några jämförelser mellan data från Stockholm och från de fem övriga deltagarstäderna. Dessa visar både på vissa likheter – t.ex. att representanterna för behandlingsområdet i flertalet städer är de mest pessimistiska vad gäller människors möjligheter att sluta med ett missbruk på egen hand – och vissa skillnader – t.ex. den särställning Sverige tycks ha när det gäller demoniseringen av heroin som den svåraste och farligaste av alla droger. Dessa resultat talar för värdet av en tvärkulturell ansats till dessa frågor', 'Föreliggande rapport redovisar resultat från den svenska pilotstudien inom det internationella s.k. SINR-projektet (Societal Images of Natural Recovery). Detta projekt syftar till ökad kunskap om hur olika synsätt, hos allmänheten såväl som inom olika professionella grupper, påverkar människor möjligheter att komma tillrätta med olika former av missbruk. Som ett första steg i projektet har i hittills sex större städer i fem olika länder ett mindre antal svarande, representerande olika samhällsgrupper, tillfrågats om sin uppfattning om möjligheterna att på egen hand ta sig ur olika slag av missbruksproblem. Den svenska pilotstudien har, på uppdrag av FoU-enheten, av tre socionomstuderande vid Stockholms universitet i form av ett examensarbete. Rapporten innehåller inledningsvis en översiktlig sammanfattning av förekommande perspektiv på olika former av missbruk, av aktuell forskning om s.k. ”självläkning” (”natural recovery”) från sådana problem, och av attributionsteori och attributionsforskning. Därefter redovisas resultat den svenska pilotstudien. Denna bygger på intervjuer med femton personer, representerande fem olika samhällssektorer: ”behandling”, ”kontroll”, ”vardagsterapeuter”, ”media” och ”allmänhet”. De frågor som står i fokus är respondenternas syn på möjligheten till ”självläkning” från elva olika former av missbruksproblem och vad de upplever som de största hindren mot effektiva lösningar på dessa problem. Svaren relateras också till eventuella erfarenheter (egna eller närståendes) av de aktuella problemen. Bland de mest intressanta resultaten är att de svarande tämligen genomgående ser ”illegala” beroendeproblem (olika narkotiska preparat) som betydligt svårare att komma tillrätta med än ”legala” sådana (alkohol, tobak, spel, shopping). På samma sätt uppfattas substansrelaterade beroenden ganska genomgående som betydligt svårare än beteenderelaterade sådana (spel och shopping). Om man ser till specifika former av missbruk finns ett starkt samband mellan de svarandes (negativa) syn på möjligheten att sluta med amfetamin, kokain och heroin. Däremot uppfattas cannabis som nästan lika lätt att sluta med som rökning, det beroende som de svarande i genomsnitt uppfattar det som allra lättast att komma tillrätta med. Representanterna för behandlingsområdet är, intressant nog, ganska genomgående de mest pessimistiska när det gäller möjligheten att ta sig ur ett missbruk på egen hand, medan mediarepresentanterna är de mest optimistiska. Sammantagna antyder resultaten att människor ganska lätt införlivar den officiella och av media reproducerade bilden av olika självdestruktiva beteenden. Samtidigt indikerar skillnaderna mellan olika grupper av svarande att uppfattningarna i vissa avseenden skiljer sig påtagligt åt mellan olika samhällssektorer, något som pekar på behovet av fortsatta, mer ingående studier på detta område. I ett avslutande Appendix görs några jämförelser mellan data från Stockholm och från de fem övriga deltagarstäderna. Dessa visar både på vissa likheter – t.ex. att representanterna för behandlingsområdet i flertalet städer är de mest pessimistiska vad gäller människors möjligheter att sluta med ett missbruk på egen hand – och vissa skillnader – t.ex. den särställning Sverige tycks ha när det gäller demoniseringen av heroin som den svåraste och farligaste av alla droger. Dessa resultat talar för värdet av en tvärkulturell ansats till dessa frågor.']"
0,47,0_att_och_av_som,"['att', 'och', 'av', 'som', 'är', 'en', 'på', 'för', 'har', 'det']","['SAMMANFATTNING Problem: Det finns många tankar om organisationer och hur de ska styras. Förr handlade det om att styra företagets olika resurser för att uppnå lönsamhet. I dag krävs det mer av företagen och dess traditionella organisationsformer sätts på prov. För att utvecklas och framförallt kunna konkurrera i den allt mer föränderliga omgivningen krävs det att organisationerna är öppna för nya tankesätt. Det pågår en övergång från traditionella organisationer till processorienterade organisationer. Med detta följer ofta att team inrättas. Teamen har kommit att bli grunden i de processorienterade organisationerna. Utifrån detta vill vi veta varför organisationer har infört team? Hur styr organisationen teamen? Har förväntningarna uppfyllts? Syfte: Syftet med uppsatsen är att vi ur ett ledningsperspektiv vill beskriva varför företag har infört team, hur de har utformat dem och hur de styrs. Vi vill även se om det finns indikationer på överensstämmelse mellan förväntningar och verklighet. Metod: Vi har valt att göra en kvalitativ studie då vi vill beskriva en händelse. En fallstudie passar oss bäst då vi vill få en djupare förståelse för vad införandet av team har inneburit. Slutsats: Organisationerna inför team för att de vill öka lönsamheten och motivationen hos de anställda. Införandet av team leder till att medarbetarna får större ansvar och det ökar deras motivation. Detta leder i sin tur till att företaget kan öka sin flexibilitet, kostnadseffektivitet och leveranssäkerhet. Dessa tre är faktorer som kan påverka lönsamheten.', 'Under de senaste åren har miljömedvetenheten i samhället blivit alltmer påtaglig och i synnerhet är det debatten om växthuseffekten som fått mycket stort utrymme i media. Detta har medfört att företagens intressenter börjat ställa allt högre krav på att även företagen ska ta sitt miljöansvar. Ett vanligt sätt att få struktur på miljöarbetet är att implementera ett miljöledningssystem i verksamheten. Företagen väljer ofta att certifiera sig i och med införandet av ett miljöledningssystem; vilket även fler och fler av företagens kunder kräver. Idag är det fortfarande i första hand stora företag som miljöredovisar och använder sig av gröna nyckeltal för att visa sin miljöpåverkan för dess intressenter. I mindre företag är inte denna företeelse särskilt vanlig. Med detta som utgångspunkt blev vår problemformulering: Vad driver mindre företag att använda miljöledningssystem och gröna nyckeltal och hur bedriver de sitt miljöarbete?Vårt syfte med denna uppsats är att kunna ge vägledning om vilka gröna nyckeltal som kan vara relevanta och som mindre företag kan använda sig av i sin redovisning. Vi vill se om det går att identifiera drivkrafterna bakom miljöredovisning och hur intressenterna påverkar denna. Vi försöker fånga upp trender inom området och använder företagskoncerner som jämförelsegrund för att visa alternativ och ge exempel på miljöarbete. Teorin inleds med en redogörelse för olika drivkrafter som kan finnas bakom miljöredovisning samt en djupare diskussion om gröna nyckeltal. Vidare beskrivs intressentmodellen och legitimitetsteorin samt vad olika intressenter använder miljöredovisning till. Vi valde att kombinera en kvantitativ och kvalitativ metod för insamlandet av det empiriska materialet till vår studie. Vi börjar med den kvantitativa metoden för att få en överblick samt för att få respondenter till den kvalitativa delen av vår studie. I vår analys av det empiriska materialet har vi utgått ifrån vår teoretiska referensram där vi dragit slutsatserna att yttre faktorer och intressenter var viktiga vid initieringen av miljöarbetet och införandet av ett miljöledningssystem hos företagen; men att det senare var de interna fördelarna som värderades högst. Vad det visar är att mindre företag upplever en press utifrån att miljöcertifiera sig men att det i praktiken verkar vara av mindre betydelse vid upphandlingar. Det framstår helt klart att implementeringen av ett miljöledningssystem i företaget gör att miljöarbetet blir mer konkret och strukturerat. Vad avser användandet av gröna nyckeltal är det energiförbrukning i olika former som är den dominerande indikatorn; däremot verkar det finnas problem att relatera denna på ett enkelt och rättvisande sätt.', 'Genom en omfattande teoristudie fann vi ett flertal teoribildningar inom ämnet, teoribildningar som på olika sätt berörde gruppers utveckling såväl som den individuella utvecklingen. Vi fann att individens utveckling är starkt förknippad med teamets utveckling varför självinsikt är av stor betydelse för teamets utveckling, Carl Gustav Jungs teorier om den introverta/extroverta människan har således stor betydelse inom detta område. Andra dominerande aktörer inom teoristudien är Schutz och hans FIRO – modell som berör hur sociala behov såsom tillhörighet, kontroll och samhörighet påverkar gruppen under olika faser. Vidare är Johari´s fönster av stor betydelse, Joseph Lufts och Harry Inghams modell av vår personlighet är väl känd för alla som arbetar inom denna genre. I denna studie har vi valt att fokusera på tre kärnfrågor: • Varför genomför grupper teambuilding? Naturligtvis finns en rad olika anledningar till varför företag söker sig till teambuilding kurser. Vi har dock funnit tre huvudsvar på denna fråga. För det första används teambuilding då gruppen står inför en krissituation, dvs. gruppen är dysfunktionell och behöver stärkas. Vidare kan kursen syfta till att ge de inblandade en gemensam målbild för att uppnå effektivitet i arbetet. Det tredje svaret vi erhållit under våra intervjuer är ett effektivitetsmål, dvs. teambuilding kurser genomgås för att höja effektiviteten. • Vad är effekten av teambuilding? Vi har sökt efter studier som pekar på vinsten av en genomgången teambuilding kurs, inga sådana mätningar har dock genomförts enligt vår efterforskning. Den effekt som uppgivits för oss av såväl kursdeltagare som kursledare är följande: kommunikationen inom gruppen stärks och trivseln ökar på arbetsplatsen. Organisationens struktur kan förändras och medarbetarnas arbetsuppgifter kan ibland förädlas eller förändras. • Hur går en teambuildingprocess till? Hur en teambuilding kurs genomförs beror till stor del på dess längd oh dess mål. Initialt delas arbetet upp i tre faser. Först kartläggs gruppens och individernas beteende i organisationen, detta sker oftast genom observationer av gruppen eller intervjuer med enskilda medlemmar. Till detta följer diverse gruppövningar av praktisk och teoretisk karaktär där kursledaren förstärker individernas handlingsmönster och beteende inom gruppen. Detta ligger sedan till grund för det gruppanalytiska efterarbete som följer i det tredje steget. Gruppen samtalar om de gemensamma erfarenheter som har utbytts under gruppövningarna med teamledaren som moderator. Detta för att skapa en självmedvetenhet om hur individen fungerar i ett gruppsammanhang men även för att utverka en handlingsplan som åsyftar att skapa en effektivisering och öppenhet inom teamet. Våra egna reflektioner kring marknaden är följande: För den svenska teambuildingmarknaden har vi funnit många likheter mellan de olika företagen/konsulterna. Till en början kan vi konstatera att den svenska marknaden består främst av konsulter med bakgrund från med varierande ledarskapsegenskaper. Detta kan vara allt ifrån militärt ledarskap till ledarskapserfarenheter inom föreningslivet. Vi fann i vår undersökning att många av de som handleder teambuilding saknar någon form av formell utbildning. Det som bemyndigar dessa personer att vara verksamma inom sitt område är deras yrkeserfarenhet och kunskaper inom grupprelationer. Detta kan ligga till grund för varierande kvalitet av utbildningar inom teambuilding. Den dominerande teoretiska kunskapen hämtas främst från UGL-kurserna där främst Schutz´s forskning om gruppdynamik ligger till grund. Enligt oss skulle branschen tjäna på att införa någon form av certifiering för att säkerställa kvaliteten på utbildningar. Idag, som marknaden ser ut, kan vilken person som helst hålla i en utbildning, vilket kan skapa svårigheter att urskilja bra respektive mindre bra utbildningar. En certifiering skulle på lång sikt underlätta för konsumenterna i valet att välja konsult. Vidare skapar detta en värdehöjande effekt på teambuildingmarknaden som kan leda till kvalitetsförbättringar för branschen. Teambuilding som företeelse är idag ett populärt fenomen, effekterna är dock svåra att kvantifiera. Om dessa skulle studeras och kunna mätas skulle branschen förmodligen få se ett större uppsving. En certifiering av teamledare skulle underlätta för beställarna av dylika kurser samtidigt som det skulle säkerställa kvaliteten på utbjudna kurser. Även om teambuilding som begrepp funnits under flera decennier så är dess applicering på kommersiella organisationer relativt ungt. Denna bransch är enligt oss i ett tidigt stadium varpå det finns goda utvecklingsmöjligheter för branschen']"
1,36,1_och_att_av_de,"['och', 'att', 'av', 'de', 'för', 'har', 'på', 'en', 'med', 'som']","['Alla barn i förskolan har rätt till stimulans efter sina behov och förutsättningar. De barn som behöver extra stöd ska få det. För barn i behov av särskilt stöd och deras föräldrar samt lärare kanske åtgärdsprogram kan vara ett hjälpmedel i arbetet. Syftet med studien är att undersöka förekomsten, användandet samt behovet av åtgärdsprogram i förskolan. Vi vill även undersöka specialpedagogens roll och delaktighet i upprättandet av åtgärdsprogram. I litteraturbearbetningen belyses förskolans historia, förskolans ansvar, specialpedagogik, utvecklingsekologi, barn i behov av särskilt stöd, åtgärdsprogram och individuella utvecklingsplaner. Den empiriska delen av uppsatsen har utförts med kvalitativa enskilda intervjuer. Målgruppen består av tolv lärare från tre olika småstäder. Studien visar att alla förskolorna i undersökningen använder sig av åtgärdsprogram, trots att de till skillnad från skolan inte är skyldiga att göra detta enligt lag. Åtgärdsprogrammen används dock i skiftande omfattning. Det är inte alla förskolor som har hjälp och handledning av specialpedagoger inför och under samtal angående åtgärdsprogram. Några av respondenterna framhåller att dokumenten inte alltid är anpassade till förskolan utan att de får använda sig av de dokument som är utformade till skolan. Flertalet av lärarna menar att det finns ett behov av åtgärdsprogram. De anser att det framför allt gynnar barnet, men att åtgärdsprogrammet också kan vara till hjälp för personal och föräldrar', 'Utgångspunkt för arbetet har varit de brister i matematikkunskaper hos eleverna som framkommit i ett flertal rapporter, samtidigt som många framställningar pekar på att dagens matematikundervisning bedrivs på ett mycket traditionellt sätt. Syftet med denna uppsats har varit att ur ett matematikdidaktiskt perspektiv belysa hur matematiklärare i grundskolans senare år planerar, genomför, följer upp och utvärderar sin undervisning i avsikt möta den stora variation av elever som finns i varje elevgrupp, dvs hur lärare arbetar för att variera sin undervisning i syfte att individualisera för eleverna. Undersökningen har genomförts som en kombination av enkät och intervju, där den inledande enkäten dels har gett en bred bild av lärarnas uppfattningar inom några väsentliga områden dels använts för att fånga in intervjupersoner för den efterföljande intervjun. Den senare delen av undersökningen, där avsikten varit att komma några utvalda lärare närmare in på livet, har genomförts som kvalitativa intervjuer. Resultatet av undersökningen visar att det både finns stora variationer mellan olika lärares sätt att arbeta, samtidigt som det finns många gemensamma uppfattningar. Den bild som jag fått genom intervjuerna, vilken i mycket stämmer överens med flera tidigare undersökningar, är att den dominerande formen av individualisering är hastighetsindividualisering där eleverna arbetar med samma material men i olika takt. För att individualisera undervisningen på ett mer effektivt sätt krävs troligtvis en större variation, än vad denna undersökning kunnat visa, både vad gäller innehåll och metoder. Ofta handlar det om resurser, intentioner kontra betingelser, och frågan om att låta sig styras eller att försöka påverka och styra. För att kunna arbeta efter det senare alternativet krävs ett systematiskt och strukturerat angrepps- och arbetssätt. Detta kräver i sin tur åtgärder på flera olika nivåer inom skolan.', 'Utgångspunkt för arbetet har varit de brister i matematikkunskaper hos eleverna som framkommit i ett flertal rapporter, samtidigt som många framställningar pekar på att dagens matematikundervisning bedrivs på ett mycket traditionellt sätt. Syftet med denna uppsats har varit att ur ett matematikdidaktiskt perspektiv belysa hur matematiklärare i grundskolans senare år planerar, genomför, följer upp och utvärderar sin undervisning i avsikt möta den stora variation av elever som finns i varje elevgrupp, dvs hur lärare arbetar för att variera sin undervisning i syfte att individualisera för eleverna. Undersökningen har genomförts som en kombination av enkät och intervju, där den inledande enkäten dels har gett en bred bild av lärarnas uppfattningar inom några väsentliga områden dels använts för att fånga in intervjupersoner för den efterföljande intervjun. Den senare delen av undersökningen, där avsikten varit att komma några utvalda lärare närmare in på livet, har genomförts som kvalitativa intervjuer. Resultatet av undersökningen visar att det både finns stora variationer mellan olika lärares sätt att arbeta, samtidigt som det finns många gemensamma uppfattningar. Den bild som jag fått genom intervjuerna, vilken i mycket stämmer överens med flera tidigare undersökningar, är att den dominerande formen av individualisering är hastighetsindividualisering där eleverna arbetar med samma material men i olika takt. För att individualisera undervisningen på ett mer effektivt sätt krävs troligtvis en större variation, än vad denna undersökning kunnat visa, både vad gäller innehåll och metoder. Ofta handlar det om resurser, intentioner kontra betingelser, och frågan om att låta sig styras eller att försöka påverka och styra. För att kunna arbeta efter det senare alternativet krävs ett systematiskt och strukturerat angrepps- och arbetssätt. Detta kräver i sin tur åtgärder på flera olika nivåer inom skolan']"
