doc_index,register,n_tokens,n_sents,pos_counts_json,n_unique_lemmas,top_deprel_json
33,formal,224,13,"{""ADJ"": 14, ""ADP"": 37, ""ADV"": 14, ""AUX"": 8, ""CCONJ"": 7, ""DET"": 13, ""NOUN"": 63, ""PART"": 4, ""PRON"": 14, ""PROPN"": 1, ""PUNCT"": 16, ""SCONJ"": 6, ""VERB"": 27}",119,"{""case"": 29, ""nsubj"": 21, ""obl"": 20, ""punct"": 16, ""mark"": 14, ""det"": 13, ""ROOT"": 13, ""advmod"": 12, ""nmod"": 11, ""obj"": 9, ""amod"": 9, ""cc"": 7}"
34,formal,205,11,"{""ADJ"": 22, ""ADP"": 27, ""ADV"": 3, ""AUX"": 12, ""CCONJ"": 14, ""DET"": 14, ""NOUN"": 53, ""NUM"": 1, ""PART"": 5, ""PRON"": 9, ""PROPN"": 2, ""PUNCT"": 18, ""SCONJ"": 5, ""VERB"": 20}",99,"{""case"": 24, ""punct"": 18, ""conj"": 16, ""det"": 15, ""cc"": 14, ""nsubj"": 12, ""mark"": 12, ""ROOT"": 11, ""obj"": 10, ""amod"": 10, ""obl"": 10, ""nmod"": 9}"
35,formal,88,3,"{""ADJ"": 5, ""ADP"": 13, ""ADV"": 8, ""AUX"": 4, ""CCONJ"": 5, ""DET"": 4, ""NOUN"": 13, ""PART"": 5, ""PRON"": 9, ""PROPN"": 4, ""PUNCT"": 5, ""SCONJ"": 1, ""VERB"": 12}",57,"{""mark"": 10, ""case"": 7, ""obj"": 6, ""advmod"": 6, ""nsubj"": 5, ""amod"": 5, ""punct"": 5, ""cc"": 5, ""conj"": 5, ""advcl"": 5, ""det"": 4, ""compound:prt"": 4}"
36,formal,423,19,"{""ADJ"": 38, ""ADP"": 55, ""ADV"": 21, ""AUX"": 19, ""CCONJ"": 21, ""DET"": 21, ""NOUN"": 99, ""PART"": 14, ""PRON"": 47, ""PUNCT"": 22, ""SCONJ"": 12, ""VERB"": 54}",175,"{""case"": 47, ""nsubj"": 33, ""amod"": 30, ""obj"": 29, ""mark"": 28, ""obl"": 26, ""det"": 24, ""advmod"": 22, ""punct"": 22, ""cc"": 21, ""ROOT"": 19, ""conj"": 19}"
37,formal,205,8,"{""ADJ"": 22, ""ADP"": 22, ""ADV"": 8, ""AUX"": 10, ""CCONJ"": 5, ""DET"": 15, ""NOUN"": 52, ""NUM"": 6, ""PART"": 5, ""PRON"": 11, ""PROPN"": 3, ""PUNCT"": 8, ""SCONJ"": 11, ""VERB"": 27}",108,"{""case"": 19, ""obl"": 16, ""det"": 16, ""nsubj"": 15, ""mark"": 14, ""amod"": 12, ""advmod"": 10, ""obj"": 10, ""punct"": 9, ""ROOT"": 8, ""aux"": 7, ""xcomp"": 7}"
38,formal,468,26,"{""ADJ"": 43, ""ADP"": 73, ""ADV"": 17, ""AUX"": 10, ""CCONJ"": 25, ""DET"": 10, ""INTJ"": 2, ""NOUN"": 135, ""NUM"": 7, ""PART"": 7, ""PRON"": 14, ""PROPN"": 27, ""PUNCT"": 50, ""SCONJ"": 5, ""SYM"": 1, ""VERB"": 42}",213,"{""case"": 70, ""punct"": 50, ""nmod"": 48, ""obl"": 40, ""amod"": 31, ""ROOT"": 26, ""cc"": 26, ""conj"": 24, ""nsubj"": 21, ""advmod"": 16, ""nsubj:pass"": 16, ""obj"": 13}"
39,formal,140,9,"{""ADJ"": 17, ""ADP"": 15, ""ADV"": 9, ""AUX"": 6, ""CCONJ"": 3, ""DET"": 12, ""NOUN"": 38, ""NUM"": 5, ""PART"": 1, ""PRON"": 5, ""PROPN"": 1, ""PUNCT"": 10, ""SCONJ"": 3, ""SYM"": 2, ""VERB"": 13}",84,"{""case"": 15, ""amod"": 13, ""det"": 12, ""punct"": 11, ""nmod"": 10, ""ROOT"": 9, ""advmod"": 8, ""nsubj"": 7, ""obl"": 7, ""obj"": 6, ""nummod"": 5, ""nsubj:pass"": 4}"
40,formal,198,12,"{""ADJ"": 19, ""ADP"": 25, ""ADV"": 13, ""AUX"": 6, ""CCONJ"": 7, ""DET"": 11, ""NOUN"": 51, ""NUM"": 2, ""PART"": 8, ""PRON"": 14, ""PROPN"": 2, ""PUNCT"": 12, ""SCONJ"": 4, ""VERB"": 24}",102,"{""case"": 19, ""mark"": 18, ""obj"": 14, ""amod"": 13, ""nsubj"": 13, ""obl"": 13, ""ROOT"": 12, ""punct"": 12, ""advmod"": 12, ""det"": 11, ""cc"": 8, ""conj"": 6}"
41,formal,159,10,"{""ADJ"": 23, ""ADP"": 19, ""ADV"": 9, ""AUX"": 5, ""CCONJ"": 11, ""DET"": 7, ""NOUN"": 41, ""NUM"": 2, ""PART"": 1, ""PRON"": 5, ""PUNCT"": 14, ""SCONJ"": 6, ""VERB"": 16}",94,"{""case"": 19, ""amod"": 15, ""punct"": 14, ""nmod"": 11, ""ROOT"": 10, ""cc"": 10, ""conj"": 10, ""advmod"": 9, ""nsubj"": 8, ""det"": 8, ""obl"": 7, ""mark"": 6}"
42,formal,208,9,"{""ADJ"": 15, ""ADP"": 37, ""ADV"": 8, ""AUX"": 6, ""CCONJ"": 10, ""DET"": 12, ""NOUN"": 62, ""NUM"": 1, ""PART"": 3, ""PRON"": 11, ""PROPN"": 8, ""PUNCT"": 12, ""SCONJ"": 4, ""SYM"": 2, ""VERB"": 17}",93,"{""case"": 32, ""nmod"": 22, ""amod"": 14, ""nsubj"": 13, ""cc"": 13, ""det"": 12, ""punct"": 12, ""conj"": 12, ""nmod:poss"": 11, ""mark"": 10, ""ROOT"": 9, ""obl"": 8}"
43,formal,152,14,"{""ADJ"": 4, ""ADP"": 14, ""ADV"": 4, ""AUX"": 8, ""CCONJ"": 13, ""DET"": 2, ""NOUN"": 52, ""NUM"": 2, ""PART"": 5, ""PROPN"": 2, ""PUNCT"": 22, ""SCONJ"": 2, ""VERB"": 22}",73,"{""punct"": 22, ""conj"": 16, ""ROOT"": 14, ""cc"": 13, ""obj"": 12, ""case"": 11, ""mark"": 10, ""nsubj"": 7, ""nmod"": 6, ""xcomp"": 6, ""obl"": 6, ""aux"": 4}"
44,formal,222,10,"{""ADJ"": 27, ""ADP"": 33, ""ADV"": 2, ""AUX"": 6, ""CCONJ"": 14, ""DET"": 13, ""NOUN"": 71, ""NUM"": 2, ""PART"": 5, ""PRON"": 8, ""PUNCT"": 21, ""SCONJ"": 4, ""SYM"": 1, ""VERB"": 15}",110,"{""case"": 31, ""conj"": 23, ""punct"": 21, ""nmod"": 19, ""amod"": 18, ""cc"": 14, ""det"": 13, ""ROOT"": 10, ""nsubj"": 10, ""mark"": 9, ""obl"": 9, ""nmod:poss"": 8}"
45,formal,164,8,"{""ADJ"": 9, ""ADP"": 18, ""ADV"": 9, ""AUX"": 12, ""CCONJ"": 8, ""DET"": 13, ""NOUN"": 48, ""NUM"": 2, ""PART"": 1, ""PRON"": 5, ""PROPN"": 8, ""PUNCT"": 13, ""SCONJ"": 6, ""VERB"": 12}",83,"{""case"": 19, ""det"": 13, ""nmod"": 13, ""punct"": 13, ""nsubj"": 12, ""conj"": 10, ""nmod:poss"": 9, ""aux"": 8, ""ROOT"": 8, ""cc"": 8, ""amod"": 8, ""obl"": 7}"
46,formal,150,10,"{""ADJ"": 11, ""ADP"": 20, ""ADV"": 7, ""AUX"": 6, ""CCONJ"": 5, ""DET"": 10, ""NOUN"": 43, ""NUM"": 3, ""PART"": 3, ""PRON"": 11, ""PUNCT"": 14, ""SCONJ"": 2, ""VERB"": 15}",84,"{""case"": 19, ""punct"": 14, ""obl"": 12, ""nsubj"": 10, ""ROOT"": 10, ""det"": 10, ""amod"": 9, ""obj"": 8, ""conj"": 8, ""nmod"": 6, ""nmod:poss"": 5, ""aux"": 5}"
