group,POSITIVE_count,POSITIVE_proportion,NEUTRAL_count,NEUTRAL_proportion,NEGATIVE_count,NEGATIVE_proportion
Informal Human,81,0.070496,886,0.771105,182,0.158399
Informal LLM,35,0.030461,959,0.834639,155,0.1349
