,Human,LLM baseline,LLM human-like,LLM detector-aware
Location (LOC),0.592,0.4169,0.3622,0.3394
Person (PRS),0.4166,0.213,0.2008,0.1996
Organisation (ORG),0.1641,0.1345,0.1018,0.0829
Time (TME),0.0516,0.015,0.0159,0.0207
Work/Artefact (WRK),0.0193,0.0186,0.0206,0.0235
Object (OBJ),0.0022,0.0208,0.0086,0.0106
Measure (MSR),0.0093,0.0008,0.0,0.0022
Event (EVN),0.0019,0.0,0.0005,0.0018
