,Human,LLM baseline,LLM human-like,LLM detector-evasive
Location (LOC),0.3964,0.2087,0.1982,0.3311
Person (PRS),0.3029,0.093,0.1053,0.3349
Organisation (ORG),0.2315,0.0794,0.0558,0.2092
Time (TME),0.0365,0.0024,0.0066,0.0267
Work/Artefact (WRK),0.0234,0.0096,0.0085,0.0306
Event (EVN),0.0,0.0027,0.0,0.011
Object (OBJ),0.0043,0.0,0.0,0.0011
Measure (MSR),0.0023,0.0,0.0,0.0
