feature,importance,abs_importance
stylometric_surface::punct_ellipsis,-3.0644543087999288,3.0644543087999288
stylometric_surface::punct_semicolon,-1.9372947491169215,1.9372947491169215
stylometric_surface::punct_dash,1.725932810684821,1.725932810684821
stylometric_surface::punct_period,-1.4768953778579075,1.4768953778579075
pragmatic_markers::hedge_informal_count,1.2764254048275143,1.2764254048275143
stylometric_surface::punct_question,-1.0417988856671392,1.0417988856671392
ner::ner_MSR_rate,-0.8306448742759139,0.8306448742759139
stylometric_surface::mtld,0.632511497446754,0.632511497446754
pragmatic_markers::negation_rate,-0.6217004025390315,0.6217004025390315
pragmatic_markers::negation_count,0.5608017351543003,0.5608017351543003
syntactic_complexity::dep_distance_mean,0.5220320374196676,0.5220320374196676
syntactic_complexity::subordinate_clause_rate,-0.5110883270668003,0.5110883270668003
pragmatic_markers::n_alpha_tokens,0.43376842885559574,0.43376842885559574
stylometric_surface::punct_exclaim,-0.42059226840215674,0.42059226840215674
pragmatic_markers::hedge_neutral_count,-0.40905284255034535,0.40905284255034535
stylometric_surface::mattr,-0.39225021443060687,0.39225021443060687
pragmatic_markers::hedge_count,0.3917569849774543,0.3917569849774543
stylometric_surface::trigram_repetition_rate,-0.38303129676496245,0.38303129676496245
stylometric_surface::ttr,-0.3750630384510635,0.3750630384510635
stylometric_surface::punct_colon,0.33885658321426115,0.33885658321426115
pragmatic_markers::epistemic_count,-0.3057829658829174,0.3057829658829174
syntactic_complexity::tree_depth_max,0.22934196774909846,0.22934196774909846
ner::ner_ORG_rate,0.21214614552208386,0.21214614552208386
ner::ner_total_rate,-0.20660977738907052,0.20660977738907052
pragmatic_markers::discourse_particle_count,-0.1985548482430833,0.1985548482430833
ner::ner_TME_rate,-0.1837629865969603,0.1837629865969603
pragmatic_markers::hedge_rate,0.1829384873227475,0.1829384873227475
ner::ner_LOC_rate,-0.17993792727006652,0.17993792727006652
ner::ner_WRK_rate,-0.16721789770418433,0.16721789770418433
stylometric_surface::bigram_repetition_rate,-0.14762209639295537,0.14762209639295537
pragmatic_markers::hedge_informal_rate,0.1377882041458298,0.1377882041458298
pragmatic_markers::hedge_neutral_rate,0.13250545875274525,0.13250545875274525
ner::ner_EVN_rate,0.12163960263439769,0.12163960263439769
ner::ner_PRS_rate,-0.11435742811335738,0.11435742811335738
pragmatic_markers::hedge_formal_rate,-0.11267996228706648,0.11267996228706648
stylometric_surface::function_word_rate,-0.10019733220615765,0.10019733220615765
pragmatic_markers::booster_count,0.09541486511168965,0.09541486511168965
pragmatic_markers::epistemic_rate,0.08537483456102567,0.08537483456102567
pragmatic_markers::discourse_particle_rate,0.06573175737555224,0.06573175737555224
pragmatic_markers::booster_rate,-0.06342911744333365,0.06342911744333365
ner::ner_OBJ_rate,0.056674625856084355,0.056674625856084355
stylometric_surface::punct_comma,0.036858034422814635,0.036858034422814635
pragmatic_markers::negation_sentence_rate,-0.028839807043760504,0.028839807043760504
pragmatic_markers::hedge_formal_count,0.021967455795779203,0.021967455795779203
syntactic_complexity::n_sentences,-0.021551533574528173,0.021551533574528173
syntactic_complexity::tree_depth_mean,0.019091921639417062,0.019091921639417062
