human_bigram_repetition_rate,human_trigram_repetition_rate,human_function_word_rate,human_ttr,human_mattr,human_mtld,human_punct_period,human_punct_exclaim,human_punct_question,human_punct_comma,human_punct_semicolon,human_punct_colon,human_punct_dash,human_punct_ellipsis,llm_bigram_repetition_rate,llm_trigram_repetition_rate,llm_function_word_rate,llm_ttr,llm_mattr,llm_mtld,llm_punct_period,llm_punct_exclaim,llm_punct_question,llm_punct_comma,llm_punct_semicolon,llm_punct_colon,llm_punct_dash,llm_punct_ellipsis
0.0,0.0,0.5,0.75,0.75,12.72,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9166666666666666,0.9166666666666666,161.27999999999994,3.1746031746031744,0.0,1.5873015873015872,4.761904761904762,0.0,1.5873015873015872,0.0,0.0
0.0,0.0,0.5061728395061729,0.7654320987654321,0.7654320987654321,96.68842105263157,1.1111111111111112,2.2222222222222223,0.0,2.2222222222222223,0.0,1.1111111111111112,0.0,0.0,0.019230769230769232,0.0,0.5094339622641509,0.8490566037735849,0.8490566037735849,98.31500000000003,4.6875,0.0,1.5625,1.5625,0.0,1.5625,0.0,0.0
0.0,0.0,0.46153846153846156,1.0,1.0,13.0,0.0,0.0,5.555555555555555,0.0,11.11111111111111,0.0,0.0,0.0,0.014492753623188406,0.0,0.4857142857142857,0.8,0.8,98.00000000000003,5.063291139240507,0.0,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0
0.0,0.0,0.5714285714285714,1.0,1.0,,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4936708860759494,0.8354430379746836,0.8354430379746836,134.4215384615385,4.301075268817204,1.075268817204301,0.0,3.225806451612903,0.0,0.0,0.0,0.0
0.0,0.0,0.5,1.0,1.0,,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4262295081967213,0.8852459016393442,0.8852459016393442,148.84,5.633802816901408,1.408450704225352,0.0,2.816901408450704,0.0,0.0,1.408450704225352,0.0
0.0,0.0,0.6428571428571429,0.9285714285714286,0.9285714285714286,54.88000000000004,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.03125,0.015873015873015872,0.6307692307692307,0.7076923076923077,0.7076923076923077,59.06934306569343,3.79746835443038,0.0,1.2658227848101267,2.5316455696202533,0.0,0.0,1.2658227848101267,0.0
0.0,0.0,0.2,1.0,1.0,,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.5121951219512195,0.7682926829268293,0.7682926829268293,99.09052631578949,4.2105263157894735,0.0,0.0,1.0526315789473684,0.0,1.0526315789473684,0.0,0.0
0.0,0.0,0.6666666666666666,1.0,1.0,,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5757575757575758,0.7878787878787878,0.7878787878787878,87.12,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.9,0.9,56.000000000000014,4.166666666666667,0.0,0.0,4.166666666666667,0.0,8.333333333333334,0.0,0.0,0.025974025974025976,0.0,0.4358974358974359,0.7564102564102564,0.7564102564102564,89.65894736842105,4.25531914893617,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.9166666666666666,0.9166666666666666,80.63999999999997,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,0.9130434782608695,0.9130434782608695,148.11999999999992,6.557377049180328,0.0,0.0,3.278688524590164,0.0,0.0,0.0,0.0
0.0,0.0,0.5,1.0,1.0,28.0,5.882352941176471,2.9411764705882355,0.0,2.9411764705882355,0.0,2.9411764705882355,0.0,0.0,0.022598870056497175,0.0,0.4943820224719101,0.702247191011236,0.7896202531645569,178.0,5.529953917050691,0.0,0.0,5.0691244239631335,0.0,1.3824884792626728,0.4608294930875576,0.0
