condition,feature,human_mean_pre,human_mean_post,human_mean_pct_change,llm_mean_pre,llm_mean_post,dz_pre,dz_post,dz_change,p_pre,p_post,n_pre,n_post
baseline,bigram_repetition_rate,0.011042856646361383,0.01114060367285683,0.8851606937019736,0.023627689670561242,0.023770493280092217,0.4399610393614422,0.43998508333702885,2.404397558664062e-05,4.960443571161525e-59,2.257872127972812e-58,1149,1134
baseline,trigram_repetition_rate,0.0025803094024209926,0.0026025238005892475,0.8609199403533573,0.002744131819485107,0.002752642801516098,0.01409077370978394,0.012849649089863018,-0.0012411246199209233,9.466125264823812e-07,1.1092355938779977e-06,1149,1134
baseline,function_word_rate,0.48423069385216283,0.48532706535398357,0.22641511902082403,0.46215814398026805,0.4620644427896028,-0.15111022953220574,-0.15933724436818447,-0.008227014835978735,3.2020202920242915e-20,2.5913304574083497e-21,1149,1134
baseline,ttr,0.8597576711176025,0.8587306573936055,-0.11945385990705029,0.7073574139942375,0.706652865676527,-1.0150543360049231,-1.0101293576586123,0.004924978346310782,1.2934110254871666e-144,2.248281477502445e-142,1149,1134
baseline,mattr,0.865888100815796,0.8649214149982409,-0.11164096338133522,0.7803772178304664,0.7801689391929347,-0.6477603799988314,-0.6408298802290306,0.0069304997698007575,2.302750591462289e-95,3.849000903116693e-93,1149,1134
baseline,mtld,77.42367214871422,77.55482205026986,0.16939250995965968,126.17232667695744,126.0100473897575,0.7544996586306231,0.7550843454001973,0.0005846867695742386,2.930676290395902e-99,4.285853934335955e-98,963,952
baseline,punct_period,8.692933406035428,8.698476088750933,0.06376078656782742,4.134970706075052,4.133405031220718,-0.296279923171841,-0.29512113094872433,0.0011587922231166559,4.439265583429905e-49,6.858000584948911e-48,1149,1134
baseline,punct_exclaim,0.6552699460827627,0.6639375379621643,1.3227513227513166,0.03966183209633297,0.03798187396709575,-0.15085469532275564,-0.15244530360414785,-0.0015906082813922084,1.7708436957931938e-18,7.3615149453432095e-19,1149,1134
baseline,punct_question,1.7136387373384958,1.7254069364706122,0.686737459634806,0.17606403434245105,0.1770466119067234,-0.29218462206142365,-0.29252868595343967,-0.00034406389201602217,1.0225177262402778e-40,4.380074824410393e-40,1149,1134
baseline,punct_comma,2.7343079278282176,2.7500413721331767,0.5754086489247635,4.047195361131408,4.055796038939238,0.3239967559461225,0.3215429182188693,-0.002453837727253161,3.487214095649658e-48,2.541527196299989e-47,1149,1134
baseline,punct_semicolon,0.08990212816895816,0.021590965168891234,-75.98392206209611,0.011583407637061676,0.011736627314800586,-0.10063673002845172,-0.03766388473485244,0.06297284529359928,0.08812882583556367,0.38196956248688074,1149,1134
baseline,punct_colon,1.0342890521796884,1.0429047936414242,0.8330109889086404,1.012029229410945,1.0173200964512623,-0.0035868384775804524,-0.004096646328232745,-0.0005098078506522922,4.281707841502187e-59,1.0190228561520003e-58,1149,1134
baseline,punct_dash,0.005487029951493873,0.00555960971275702,1.3227513227513295,0.6588021508728459,0.6607907039082,0.8630046158575089,0.8622632308124014,-0.0007413850451074566,5.330161029317321e-129,1.5665721513402702e-127,1149,1134
baseline,punct_ellipsis,0.41206469454703326,0.4175685151742323,1.3356690587746665,0.0,0.0,-0.16363397735760757,-0.16475666855499427,-0.0011226911973866993,2.7997440774887764e-20,2.7997440774887764e-20,1149,1134
human_like,bigram_repetition_rate,0.011042856646361383,0.01114060367285683,0.8851606937019736,0.026759518215433264,0.026837441099057505,0.5535797570258489,0.5503853069456791,-0.0031944500801698306,3.85286071445483e-77,1.9108889544924501e-75,1149,1134
human_like,trigram_repetition_rate,0.0025803094024209926,0.0026025238005892475,0.8609199403533573,0.003035782061948889,0.0030344804502419193,0.0400921693544632,0.037828638638033235,-0.0022635307164299637,6.535139282612665e-10,1.4396185957431437e-09,1149,1134
human_like,function_word_rate,0.48423069385216283,0.48532706535398357,0.22641511902082403,0.471588952954826,0.4711163195555337,-0.08709244364256725,-0.0981177054448027,-0.01102526180223544,3.187724597831261e-12,1.2194987714272815e-13,1149,1134
human_like,ttr,0.8597576711176025,0.8587306573936055,-0.11945385990705029,0.6848858947972779,0.6844947673692056,-1.1706297521164546,-1.164736585963106,0.005893166153348561,1.5856988716217766e-158,2.9992136121042126e-156,1149,1134
human_like,mattr,0.865888100815796,0.8649214149982409,-0.11164096338133522,0.7711183357215524,0.7709919953676464,-0.7197522597939893,-0.7125803635829675,0.0071718962110217666,1.6537139062467579e-108,3.209508114942061e-106,1149,1134
human_like,mtld,77.42367214871422,77.55482205026986,0.16939250995965968,122.5569581536287,122.55372639741178,0.7222689809477794,0.7196976804938972,-0.002571300453882208,2.783457904573127e-93,3.2797836979615624e-92,963,952
human_like,punct_period,8.692933406035428,8.698476088750933,0.06376078656782742,4.115613468228459,4.119974627274851,-0.29703472313299983,-0.29555284151373934,0.0014818816192604944,2.989898547637278e-49,5.944072427229604e-48,1149,1134
human_like,punct_exclaim,0.6552699460827627,0.6639375379621643,1.3227513227513166,0.03769406623503277,0.038192664994755425,-0.15173093262017878,-0.15275354831252017,-0.0010226156923413832,3.468912094744615e-19,3.468912094744615e-19,1149,1134
human_like,punct_question,1.7136387373384958,1.7254069364706122,0.686737459634806,0.1912644543684812,0.19029078354923692,-0.2891306164197918,-0.2898327713063398,-0.0007021548865479565,8.591648521671181e-36,1.7944844834980817e-35,1149,1134
human_like,punct_comma,2.7343079278282176,2.7500413721331767,0.5754086489247635,3.8903799703830706,3.904086650052197,0.2856716589749614,0.28439475536096204,-0.0012769036139993473,1.3591651943873793e-43,6.998125777294992e-43,1149,1134
