human_bigram_repetition_rate,human_trigram_repetition_rate,human_function_word_rate,human_ttr,human_mattr,human_mtld,human_punct_period,human_punct_comma,human_punct_semicolon,human_punct_colon,human_punct_dash,llm_bigram_repetition_rate,llm_trigram_repetition_rate,llm_function_word_rate,llm_ttr,llm_mattr,llm_mtld,llm_punct_period,llm_punct_comma,llm_punct_semicolon,llm_punct_colon,llm_punct_dash
0.022727272727272728,0.007633587786259542,0.3684210526315789,0.7142857142857143,0.7535294117647059,133.0,5.47945205479452,0.0,2.054794520547945,0.0,0.0,0.03508771929824561,0.00881057268722467,0.42358078602620086,0.6200873362445415,0.759,102.52301255230125,3.6144578313253013,4.016064257028113,0.0,0.40160642570281124,0.0
0.09183673469387756,0.03076923076923077,0.37055837563451777,0.5583756345177665,0.7039795918367348,71.53796360395631,5.045871559633028,0.0,1.3761467889908259,0.45871559633027525,0.0,0.049281314168377825,0.00411522633744856,0.4405737704918033,0.5225409836065574,0.7584061696658098,128.18512630277337,3.3989266547406083,5.008944543828265,0.0,0.5366726296958855,0.8944543828264759
0.0847457627118644,0.01276595744680851,0.5358649789029536,0.4810126582278481,0.6171014492753623,62.0092126413421,4.313725490196078,0.0,1.9607843137254901,0.0,0.0,0.040955631399317405,0.00684931506849315,0.40476190476190477,0.6530612244897959,0.8056923076923076,173.12064570943073,3.9877300613496933,4.601226993865031,0.0,0.6134969325153374,0.0
0.022222222222222223,0.0,0.45054945054945056,0.7692307692307693,0.7692307692307693,110.41333333333337,4.761904761904762,0.0,1.9047619047619047,0.0,0.0,0.05994550408719346,0.00819672131147541,0.38858695652173914,0.6141304347826086,0.802639405204461,154.21675263324818,3.7313432835820897,3.9800995024875623,0.0,0.24875621890547264,0.4975124378109453
0.0847457627118644,0.05128205128205128,0.42857142857142855,0.6218487394957983,0.6425000000000002,78.20221218453224,4.477611940298508,0.0,2.985074626865672,0.0,0.0,0.024844720496894408,0.006230529595015576,0.4148606811145511,0.631578947368421,0.7726785714285713,164.3336679830402,3.9473684210526314,6.052631578947368,0.0,0.2631578947368421,0.0
0.0,0.0,0.4722222222222222,0.7638888888888888,0.7638888888888888,85.3835294117647,4.8076923076923075,0.0,0.0,1.9230769230769231,0.0,0.08263069139966273,0.016891891891891893,0.41245791245791247,0.51010101010101,0.7664848484848485,127.7307831804358,3.795620437956204,2.481751824817518,0.0,2.043795620437956,1.167883211678832
0.05652173913043478,0.017467248908296942,0.45454545454545453,0.5584415584415584,0.690530303030303,78.58660656793305,6.2745098039215685,0.0,0.7843137254901961,0.0,0.0,0.03663003663003663,0.0,0.4124087591240876,0.6496350364963503,0.7769142857142856,153.78804925469865,3.333333333333333,3.0,0.0,1.0,0.6666666666666666
0.125,0.059602649006622516,0.4117647058823529,0.6209150326797386,0.6527777777777778,78.66509433962264,4.9079754601226995,0.0,1.2269938650306749,0.0,0.0,0.021604938271604937,0.0,0.38153846153846155,0.6492307692307693,0.8056194690265489,194.01413342001905,3.3149171270718236,4.419889502762431,0.0,0.5524861878453039,0.8287292817679559
0.04830917874396135,0.0048543689320388345,0.47115384615384615,0.6105769230769231,0.71651376146789,81.73006820977301,7.079646017699115,0.0,1.3274336283185841,0.0,0.0,0.020202020202020204,0.0,0.3926174496644295,0.6543624161073825,0.8109547738693467,173.24064171122996,3.6585365853658534,3.6585365853658534,0.0,0.0,0.6097560975609756
0.008771929824561403,0.0,0.391304347826087,0.6782608695652174,0.7175,75.60327540106951,4.615384615384616,0.0,5.384615384615385,0.7692307692307693,0.0,0.046242774566473986,0.002898550724637681,0.41210374639769454,0.5994236311239193,0.7743951612903226,132.7494499449945,2.6829268292682924,4.878048780487805,0.0,0.4878048780487805,0.7317073170731707
