,Human,LLM baseline,LLM human-like,LLM detector-aware
Location (LOC),0.3965,0.2087,0.1982,0.1549
Person (PRS),0.303,0.093,0.1053,0.0958
Organisation (ORG),0.2316,0.0794,0.0558,0.0452
Time (TME),0.0365,0.0024,0.0066,0.004
Work/Artefact (WRK),0.0234,0.0096,0.0085,0.0059
Event (EVN),0.0,0.0027,0.0,0.0046
Object (OBJ),0.0043,0.0,0.0,0.0
