human_sentiment_label,human_p_pos,human_p_neg,human_p_neu,human_signed_polarity,human_affective_extremity,human_is_subjective,llm_sentiment_label,llm_p_pos,llm_p_neg,llm_p_neu,llm_signed_polarity,llm_affective_extremity,llm_is_subjective
NEGATIVE,0.038087,0.599755,0.362159,-0.561668,0.637841,1,NEUTRAL,0.064341,0.100799,0.834859,-0.036458,0.165141,0
NEUTRAL,0.042823,0.135899,0.821278,-0.093076,0.178722,0,NEUTRAL,0.038261,0.116023,0.845716,-0.077763,0.154284,0
NEUTRAL,0.081648,0.027793,0.890559,0.053855,0.109441,0,NEUTRAL,0.035458,0.163823,0.800719,-0.128365,0.199281,0
NEGATIVE,0.000905,0.991946,0.007149,-0.99104,0.992851,1,NEGATIVE,0.028931,0.661031,0.310038,-0.632099,0.689962,1
NEUTRAL,0.004211,0.002329,0.993459,0.001882,0.006541,0,NEUTRAL,0.00915,0.011343,0.979507,-0.002192,0.020493,0
NEGATIVE,0.075819,0.578697,0.345483,-0.502878,0.654517,1,NEUTRAL,0.251693,0.173169,0.575138,0.078523,0.424862,0
NEUTRAL,0.116304,0.133919,0.749776,-0.017615,0.250224,0,POSITIVE,0.644558,0.093525,0.261917,0.551033,0.738083,1
NEUTRAL,0.062907,0.229805,0.707288,-0.166898,0.292712,0,POSITIVE,0.504776,0.082585,0.412639,0.422191,0.587361,1
NEUTRAL,0.068878,0.285986,0.645136,-0.217108,0.354864,0,NEUTRAL,0.199226,0.041605,0.759169,0.157621,0.240831,0
NEGATIVE,0.055125,0.491705,0.453169,-0.43658,0.546831,1,NEUTRAL,0.210489,0.069412,0.720099,0.141078,0.279901,0
NEUTRAL,0.011478,0.016932,0.97159,-0.005454,0.02841,0,NEUTRAL,0.06413,0.036504,0.899366,0.027626,0.100634,0
NEUTRAL,0.009488,0.454205,0.536307,-0.444717,0.463693,0,NEUTRAL,0.043198,0.010853,0.94595,0.032345,0.05405,0
NEUTRAL,0.034155,0.028648,0.937197,0.005507,0.062803,0,NEUTRAL,0.007253,0.036952,0.955794,-0.029699,0.044206,0
NEGATIVE,0.013656,0.661845,0.324499,-0.648188,0.675501,1,NEUTRAL,0.027748,0.00843,0.963822,0.019317,0.036178,0
NEGATIVE,0.007096,0.545319,0.447585,-0.538222,0.552415,1,NEUTRAL,0.014639,0.004618,0.980743,0.010021,0.019257,0
NEUTRAL,0.007314,0.006831,0.985855,0.000483,0.014145,0,NEUTRAL,0.007614,0.008404,0.983982,-0.000791,0.016018,0
NEUTRAL,0.00909,0.34427,0.646639,-0.33518,0.353361,0,NEUTRAL,0.007519,0.008134,0.984347,-0.000615,0.015653,0
NEUTRAL,0.011197,0.234831,0.753972,-0.223633,0.246028,0,NEUTRAL,0.013044,0.005847,0.98111,0.007197,0.01889,0
NEGATIVE,0.005385,0.863958,0.130656,-0.858573,0.869344,1,NEUTRAL,0.030171,0.01631,0.953519,0.013861,0.046481,0
NEGATIVE,0.005046,0.590749,0.404205,-0.585703,0.595795,1,NEUTRAL,0.014472,0.017411,0.968117,-0.002939,0.031883,0
NEUTRAL,0.014626,0.074802,0.910572,-0.060176,0.089428,0,NEUTRAL,0.024756,0.007672,0.967572,0.017084,0.032428,0
NEUTRAL,0.019611,0.055163,0.925226,-0.035552,0.074774,0,NEUTRAL,0.056648,0.008982,0.93437,0.047666,0.06563,0
NEUTRAL,0.194326,0.051765,0.75391,0.142561,0.24609,0,NEUTRAL,0.02087,0.009018,0.970112,0.011852,0.029888,0
NEGATIVE,0.003462,0.847476,0.149062,-0.844015,0.850938,1,NEUTRAL,0.141589,0.014838,0.843573,0.126751,0.156427,0
NEUTRAL,0.022654,0.021352,0.955994,0.001303,0.044006,0,NEGATIVE,0.004275,0.943291,0.052435,-0.939016,0.947565,1
NEUTRAL,0.013255,0.262624,0.72412,-0.249369,0.27588,0,NEUTRAL,0.059392,0.029882,0.910727,0.02951,0.089273,0
