human_dep_distance_mean,human_tree_depth_mean,human_tree_depth_max,human_subordinate_clause_rate,human_n_sentences,llm_dep_distance_mean,llm_tree_depth_mean,llm_tree_depth_max,llm_subordinate_clause_rate,llm_n_sentences
3.028985507246377,4.0,5.0,0.625,8,3.775,5.333333333333333,9.0,1.5555555555555556,9
3.3689320388349513,4.666666666666667,8.0,0.8333333333333334,12,3.8717472118959106,5.0476190476190474,9.0,1.9047619047619047,21
3.2295081967213113,4.454545454545454,7.0,1.5454545454545454,11,3.4792332268370605,5.3076923076923075,8.0,1.2307692307692308,13
3.04,4.0,6.0,0.8,5,3.6304909560723515,5.4,10.0,1.4,15
3.4609375,4.666666666666667,6.0,1.1666666666666667,6,3.9536784741144415,5.230769230769231,7.0,1.0,13
3.0618556701030926,3.857142857142857,6.0,0.5714285714285714,7,3.6676783004552354,5.076923076923077,9.0,1.3076923076923077,26
3.3209876543209877,4.5,8.0,0.8333333333333334,12,3.410344827586207,6.4,8.0,1.6,10
3.264516129032258,4.25,7.0,0.875,8,3.310344827586207,5.357142857142857,8.0,1.2857142857142858,14
3.218604651162791,4.181818181818182,6.0,1.0,11,3.4825396825396826,5.538461538461538,8.0,1.6153846153846154,13
3.0165289256198347,4.444444444444445,7.0,0.5555555555555556,9,3.6582278481012658,4.8,7.0,1.5333333333333334,15
3.037593984962406,3.5,5.0,0.75,8,3.6647398843930636,4.785714285714286,8.0,1.3571428571428572,14
3.5260115606936417,5.461538461538462,9.0,1.0,13,3.1784615384615384,5.285714285714286,8.0,1.3571428571428572,14
2.6407766990291264,4.384615384615385,6.0,1.1538461538461537,13,4.01937984496124,5.75,9.0,1.625,8
3.6203703703703702,5.0,7.0,1.2,5,3.936599423631124,5.75,7.0,1.0833333333333333,12
3.400621118012422,3.8947368421052633,7.0,0.7894736842105263,19,3.465934065934066,4.842105263157895,7.0,1.105263157894737,19
3.6390041493775933,3.5714285714285716,6.0,0.21428571428571427,14,3.6072289156626507,5.4,7.0,1.4,15
3.3659574468085105,4.076923076923077,7.0,1.0769230769230769,13,3.975550122249389,5.615384615384615,8.0,1.9230769230769231,13
2.9203187250996017,3.4705882352941178,6.0,0.6470588235294118,17,3.7698412698412698,4.9,7.0,1.1,10
3.0846153846153848,4.428571428571429,6.0,1.4285714285714286,7,3.4760273972602738,5.9,9.0,2.0,10
3.541095890410959,5.166666666666667,9.0,2.0,6,3.826210826210826,5.454545454545454,8.0,2.272727272727273,11
3.269230769230769,4.75,8.0,2.75,4,3.359861591695502,5.2727272727272725,7.0,2.0,11
2.8846153846153846,5.666666666666667,8.0,1.3333333333333333,3,3.623684210526316,4.8125,8.0,1.0625,16
3.1159420289855073,4.545454545454546,6.0,1.4545454545454546,11,3.4754098360655736,7.083333333333333,10.0,1.6666666666666667,12
3.2209302325581395,4.625,6.0,1.25,8,3.8642659279778395,5.153846153846154,8.0,1.7692307692307692,13
3.5137254901960784,3.933333333333333,6.0,0.6,15,3.5378973105134475,5.125,7.0,1.625,16
3.4674610449129237,4.081967213114754,9.0,1.0819672131147542,61,3.5042492917847023,5.333333333333333,8.0,1.0,15
2.9066666666666667,5.5,6.0,0.75,4,3.775055679287305,5.529411764705882,8.0,1.411764705882353,17
3.1353383458646618,4.857142857142857,8.0,1.8571428571428572,7,3.38412017167382,5.15,8.0,1.15,20
3.3013100436681224,3.7333333333333334,5.0,0.7333333333333333,15,3.791780821917808,5.636363636363637,8.0,1.4545454545454546,11
3.391959798994975,4.777777777777778,9.0,2.0,9,3.745257452574526,5.846153846153846,10.0,1.6923076923076923,13
3.3726937269372694,4.923076923076923,7.0,1.0,13,3.5243243243243243,5.7,11.0,1.95,20
3.182926829268293,4.5,5.0,1.75,4,3.7774725274725274,5.3076923076923075,7.0,1.5384615384615385,13
3.2295081967213113,4.454545454545454,7.0,1.5454545454545454,11,3.3858024691358026,5.846153846153846,10.0,1.9230769230769231,13
2.981042654028436,4.384615384615385,7.0,1.0769230769230769,13,3.626598465473146,5.928571428571429,10.0,1.6428571428571428,14
