human_bigram_repetition_rate,human_trigram_repetition_rate,human_function_word_rate,human_ttr,human_mattr,human_mtld,human_punct_period,human_punct_comma,human_punct_semicolon,human_punct_colon,human_punct_dash,llm_bigram_repetition_rate,llm_trigram_repetition_rate,llm_function_word_rate,llm_ttr,llm_mattr,llm_mtld,llm_punct_period,llm_punct_comma,llm_punct_semicolon,llm_punct_colon,llm_punct_dash
0.022727272727272728,0.007633587786259542,0.3684210526315789,0.7142857142857143,0.7535294117647059,133.0,5.47945205479452,0.0,2.054794520547945,0.0,0.0,0.032432432432432434,0.0,0.3763440860215054,0.6935483870967742,0.8132183908045979,143.20538720538718,3.883495145631068,4.854368932038835,0.0,0.0,0.970873786407767
0.09183673469387756,0.03076923076923077,0.37055837563451777,0.5583756345177665,0.7039795918367348,71.53796360395631,5.045871559633028,0.0,1.3761467889908259,0.45871559633027525,0.0,0.04452054794520548,0.003436426116838488,0.3993174061433447,0.6177474402730375,0.7629381443298968,147.21469989190126,3.151862464183381,3.438395415472779,0.0,0.28653295128939826,0.0
0.0847457627118644,0.01276595744680851,0.5358649789029536,0.4810126582278481,0.6171014492753623,62.0092126413421,4.313725490196078,0.0,1.9607843137254901,0.0,0.0,0.028368794326241134,0.007142857142857143,0.3732394366197183,0.7676056338028169,0.8137209302325583,171.08848484848482,3.7735849056603774,6.918238993710691,0.0,0.0,0.0
0.022222222222222223,0.0,0.45054945054945056,0.7692307692307693,0.7692307692307693,110.41333333333337,4.761904761904762,0.0,1.9047619047619047,0.0,0.0,0.04,0.010050251256281407,0.3681592039800995,0.6865671641791045,0.802058823529412,168.8794027913754,3.211009174311927,4.587155963302752,0.0,0.0,0.0
0.0847457627118644,0.05128205128205128,0.42857142857142855,0.6218487394957983,0.6425000000000002,78.20221218453224,4.477611940298508,0.0,2.985074626865672,0.0,0.0,0.016042780748663103,0.0,0.40425531914893614,0.7127659574468085,0.7602247191011235,165.5763358778626,2.7649769585253456,7.373271889400922,0.0,0.4608294930875576,0.0
0.0,0.0,0.4722222222222222,0.7638888888888888,0.7638888888888888,85.3835294117647,4.8076923076923075,0.0,0.0,1.9230769230769231,0.0,0.06716417910447761,0.00997506234413965,0.4119106699751861,0.5459057071960298,0.7725657894736842,113.7016589300662,2.5157232704402515,3.5639412997903563,0.0,1.4675052410901466,1.0482180293501049
0.05652173913043478,0.017467248908296942,0.45454545454545453,0.5584415584415584,0.690530303030303,78.58660656793305,6.2745098039215685,0.0,0.7843137254901961,0.0,0.0,0.019801980198019802,0.0,0.39408866995073893,0.6305418719211823,0.7510576923076921,123.22078391119221,3.225806451612903,2.3041474654377883,0.4608294930875576,0.4608294930875576,0.0
0.125,0.059602649006622516,0.4117647058823529,0.6209150326797386,0.6527777777777778,78.66509433962264,4.9079754601226995,0.0,1.2269938650306749,0.0,0.0,0.01932367149758454,0.0,0.3605769230769231,0.6923076923076923,0.7834862385321099,153.7933798523489,3.4188034188034186,3.846153846153846,0.0,0.0,0.0
0.04830917874396135,0.0048543689320388345,0.47115384615384615,0.6105769230769231,0.71651376146789,81.73006820977301,7.079646017699115,0.0,1.3274336283185841,0.0,0.0,0.014423076923076924,0.0,0.3588516746411483,0.722488038277512,0.8211818181818181,209.93689655172415,3.5714285714285716,3.125,0.0,0.0,0.0
0.008771929824561403,0.0,0.391304347826087,0.6782608695652174,0.7175,75.60327540106951,4.615384615384616,0.0,5.384615384615385,0.7692307692307693,0.0,0.03686635944700461,0.009259259259259259,0.3853211009174312,0.6559633027522935,0.7767226890756304,132.80880150851314,3.125,5.859375,0.0,0.390625,0.78125
