metric,value
condition,human_like
n_per_class,1222
mean_pair_cosine,0.4659
median_pair_cosine,0.4813
classifier_cv_roc_auc,0.9864
permutation_p_value,0.004975124378109453
null_mean_auc,0.5001
n_permutations,200
embedding_model,paraphrase-multilingual-mpnet-base-v2
