human_bigram_repetition_rate,human_trigram_repetition_rate,human_function_word_rate,human_ttr,human_mattr,human_mtld,human_punct_period,human_punct_exclaim,human_punct_question,human_punct_comma,human_punct_semicolon,human_punct_colon,human_punct_dash,human_punct_ellipsis,llm_bigram_repetition_rate,llm_trigram_repetition_rate,llm_function_word_rate,llm_ttr,llm_mattr,llm_mtld,llm_punct_period,llm_punct_exclaim,llm_punct_question,llm_punct_comma,llm_punct_semicolon,llm_punct_colon,llm_punct_dash,llm_punct_ellipsis
0.0,0.0,0.5,0.75,0.75,12.72,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44680851063829785,0.8723404255319149,0.8723404255319149,103.0866666666667,5.172413793103448,0.0,0.0,3.4482758620689653,0.0,3.4482758620689653,0.0,0.0
0.0,0.0,0.5061728395061729,0.7654320987654321,0.7654320987654321,96.68842105263157,1.1111111111111112,2.2222222222222223,0.0,2.2222222222222223,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.4675324675324675,0.8571428571428571,0.8571428571428571,150.91999999999996,5.4945054945054945,0.0,0.0,3.296703296703297,0.0,0.0,1.098901098901099,0.0
0.0,0.0,0.5714285714285714,1.0,1.0,,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4696969696969697,0.8939393939393939,0.8939393939393939,174.24,5.194805194805195,1.2987012987012987,0.0,5.194805194805195,0.0,0.0,0.0,0.0
0.0,0.0,0.5,1.0,1.0,,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.8333333333333334,0.8333333333333334,100.80000000000004,4.285714285714286,1.4285714285714286,0.0,2.857142857142857,0.0,0.0,0.0,0.0
0.0,0.0,0.6428571428571429,0.9285714285714286,0.9285714285714286,54.88000000000004,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.8541666666666666,0.8541666666666666,92.16,4.918032786885246,0.0,0.0,3.278688524590164,0.0,1.639344262295082,0.0,0.0
0.0,0.0,0.2,1.0,1.0,,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532258064516129,0.8225806451612904,0.8225806451612904,97.84727272727277,5.714285714285714,0.0,0.0,2.857142857142857,0.0,1.4285714285714286,0.0,0.0
0.0,0.0,0.6666666666666666,1.0,1.0,,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.8947368421052632,0.8947368421052632,151.62000000000003,4.477611940298508,0.0,0.0,4.477611940298508,0.0,1.492537313432836,0.0,0.0
0.0,0.0,0.5,0.9,0.9,56.000000000000014,4.166666666666667,0.0,0.0,4.166666666666667,0.0,8.333333333333334,0.0,0.0,0.0273972602739726,0.013888888888888888,0.47297297297297297,0.7837837837837838,0.7837837837837838,95.83,4.166666666666667,0.0,0.0,4.166666666666667,0.0,0.0,1.0416666666666667,0.0
0.0,0.0,0.5,0.9166666666666666,0.9166666666666666,80.63999999999997,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38596491228070173,0.8596491228070176,0.8596491228070176,113.715,5.555555555555555,0.0,0.0,2.7777777777777777,0.0,0.0,1.3888888888888888,0.0
0.0,0.0,0.5,1.0,1.0,28.0,5.882352941176471,2.9411764705882355,0.0,2.9411764705882355,0.0,2.9411764705882355,0.0,0.0,0.009216589861751152,0.0,0.518348623853211,0.6284403669724771,0.7178991596638656,89.77082868268968,4.905660377358491,0.0,0.37735849056603776,4.905660377358491,0.0,1.8867924528301887,0.7547169811320755,0.0
0.0,0.0,0.5476190476190477,0.8333333333333334,0.8333333333333334,70.56000000000003,8.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.02040816326530612,0.0,0.5076142131979695,0.6700507614213198,0.7775510204081633,133.2362056222443,5.508474576271186,0.0,0.0,4.23728813559322,0.0,1.271186440677966,0.423728813559322,0.0
0.0,0.0,0.48214285714285715,0.7678571428571429,0.7678571428571429,67.5446153846154,4.838709677419354,0.0,0.0,1.6129032258064515,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.5045454545454545,0.6818181818181818,0.7540495867768596,124.05336864944067,4.580152671755726,1.1450381679389314,0.7633587786259542,3.816793893129771,0.0,0.7633587786259542,0.0,0.0
0.0,0.0,0.5555555555555556,1.0,1.0,,8.333333333333334,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.009478672985781991,0.0,0.5094339622641509,0.6179245283018868,0.7363716814159292,106.0,5.46875,0.0,0.0,3.90625,0.0,1.171875,0.0,0.0
0.0,0.0,0.5319148936170213,0.8297872340425532,0.8297872340425532,77.315,3.7037037037037037,0.0,0.0,7.407407407407407,0.0,1.8518518518518519,0.0,0.0,0.0,0.0,0.488,0.744,0.7746153846153848,136.71875,4.635761589403974,0.0,0.0,5.298013245033113,0.0,1.3245033112582782,0.6622516556291391,0.0
0.0,0.0,0.5,1.0,1.0,,16.666666666666668,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.4492753623188406,0.8695652173913043,0.8695652173913043,148.11999999999998,3.5294117647058822,1.1764705882352942,0.0,2.3529411764705883,0.0,2.3529411764705883,1.1764705882352942,0.0
0.0,0.0,0.4166666666666667,1.0,1.0,12.0,7.142857142857143,0.0,0.0,7.142857142857143,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.43548387096774194,0.8225806451612904,0.8225806451612904,97.84727272727277,3.8461538461538467,1.2820512820512822,0.0,2.5641025641025643,0.0,1.2820512820512822,2.5641025641025643,0.0
0.0,0.0,0.14285714285714285,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.4666666666666667,0.7888888888888889,0.7888888888888889,119.36842105263158,3.816793893129771,0.0,0.0,3.816793893129771,0.0,1.5267175572519085,0.7633587786259542,0.0
0.0,0.0,0.4166666666666667,1.0,1.0,12.0,7.142857142857143,0.0,0.0,7.142857142857143,0.0,0.0,0.0,0.0,0.027210884353741496,0.00684931506849315,0.5337837837837838,0.6824324324324325,0.6981632653061225,104.43866365156708,0.9174311926605505,0.0,0.45871559633027525,0.9174311926605505,0.0,0.9174311926605505,0.0,0.0
0.0,0.0,0.5,0.9285714285714286,0.9285714285714286,54.88000000000004,5.882352941176471,0.0,0.0,11.764705882352942,0.0,0.0,0.0,0.0,0.024096385542168676,0.012195121951219513,0.5595238095238095,0.75,0.75,94.08000000000001,4.424778761061948,0.0,0.0,2.6548672566371683,0.0,0.8849557522123894,0.0,0.0
0.0,0.0,0.42857142857142855,1.0,1.0,,0.0,11.11111111111111,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.4666666666666667,0.76,0.76,87.50000000000001,5.208333333333334,0.0,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,0.0
0.0,0.0,0.4166666666666667,1.0,1.0,12.0,0.0,0.0,0.0,7.142857142857143,0.0,0.0,0.0,0.0,0.036585365853658534,0.012345679012345678,0.4578313253012048,0.7469879518072289,0.7469879518072289,91.85333333333332,5.217391304347826,0.0,0.0,0.0,0.0,2.608695652173913,0.0,0.0
0.0,0.0,0.5,1.0,1.0,,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.02,0.4423076923076923,0.7115384615384616,0.7115384615384616,48.060606060606055,2.73972602739726,0.0,0.0,17.80821917808219,0.0,2.73972602739726,0.0,0.0
0.0,0.0,0.6666666666666666,0.8888888888888888,0.8888888888888888,,0.0,0.0,0.0,7.6923076923076925,0.0,7.6923076923076925,0.0,0.0,0.022727272727272728,0.0,0.4222222222222222,0.7777777777777778,0.7777777777777778,56.70000000000001,5.063291139240507,0.0,0.0,8.860759493670887,0.0,2.5316455696202533,0.0,0.0
0.0,0.0,0.46153846153846156,1.0,1.0,13.0,4.545454545454546,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.8333333333333334,0.8333333333333334,80.64000000000003,2.985074626865672,0.0,0.0,14.925373134328359,0.0,1.492537313432836,0.0,0.0
0.0,0.0,0.16666666666666666,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.04,0.46153846153846156,0.7692307692307693,0.7692307692307693,63.093333333333355,2.197802197802198,0.0,0.0,9.89010989010989,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,,16.666666666666668,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.43478260869565216,0.8260869565217391,0.8260869565217391,74.06,4.705882352941177,0.0,0.0,9.411764705882353,0.0,3.5294117647058822,0.0,0.0
0.0,0.0,0.42857142857142855,1.0,1.0,,33.33333333333333,0.0,11.11111111111111,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.5416666666666666,0.8958333333333334,0.8958333333333334,129.02400000000006,5.555555555555555,0.0,0.0,1.8518518518518519,0.0,0.0,0.0,0.0
0.0,0.0,0.5,1.0,1.0,16.0,4.761904761904762,0.0,4.761904761904762,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.4883720930232558,0.9302325581395349,0.9302325581395349,172.57333333333332,4.081632653061225,0.0,0.0,4.081632653061225,0.0,0.0,0.0,0.0
0.0,0.0,0.46153846153846156,1.0,1.0,13.0,37.5,0.0,0.0,6.25,0.0,6.25,0.0,6.25,0.0,0.0,0.5714285714285714,0.9642857142857143,0.9642857142857143,219.52000000000015,3.125,0.0,6.25,3.125,0.0,0.0,0.0,0.0
0.0,0.0,0.5483870967741935,0.967741935483871,0.967741935483871,269.08000000000027,9.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41304347826086957,0.8913043478260869,0.8913043478260869,118.49599999999997,5.660377358490566,0.0,0.0,1.8867924528301887,0.0,0.0,1.8867924528301887,0.0
0.034482758620689655,0.0,0.6333333333333333,0.8,0.8,42.000000000000014,3.125,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.9791666666666666,0.9791666666666666,645.1199999999989,7.142857142857143,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0
0.0,0.0,0.5454545454545454,0.9090909090909091,0.9090909090909091,33.879999999999995,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.5263157894736842,0.8596491228070176,0.8596491228070176,113.715,4.615384615384616,0.0,0.0,4.615384615384616,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.7857142857142857,0.7857142857142857,18.293333333333333,0.0,0.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.9487179487179487,0.9487179487179487,212.93999999999986,8.51063829787234,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0
0.0,0.0,0.3076923076923077,1.0,1.0,13.0,6.666666666666667,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.3431372549019608,0.8333333333333334,0.8366666666666666,171.36000000000007,2.898550724637681,0.0,0.0,5.072463768115942,0.0,1.4492753623188406,0.7246376811594203,0.0
0.043478260869565216,0.0,0.5833333333333334,0.8333333333333334,0.8333333333333334,40.320000000000014,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026737967914438502,0.0,0.4734042553191489,0.6329787234042553,0.7655056179775283,113.60311365248967,3.75,0.0,0.0,1.25,0.0,2.5,0.0,0.0
0.0,0.0,0.4166666666666667,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.8431372549019608,0.8466666666666667,182.07000000000002,3.937007874015748,0.0,0.0,2.362204724409449,0.0,1.5748031496062993,0.0,0.0
0.0,0.0,0.6666666666666666,0.9047619047619048,0.9047619047619048,61.74000000000001,14.814814814814815,0.0,0.0,3.7037037037037037,0.0,0.0,0.0,0.0,0.014388489208633094,0.0,0.4928571428571429,0.7142857142857143,0.7531707317073171,128.9240506329114,3.6363636363636367,0.0,0.0,1.8181818181818183,0.0,1.2121212121212122,0.6060606060606061,0.0
0.024390243902439025,0.012345679012345678,0.4939759036144578,0.7590361445783133,0.7590361445783133,96.44600000000001,6.521739130434782,0.0,0.0,3.260869565217391,0.0,1.0869565217391304,0.0,0.0,0.007352941176470588,0.0,0.4306569343065693,0.7956204379562044,0.8392105263157893,187.69000000000003,4.1420118343195265,0.0,0.0,4.1420118343195265,0.0,1.775147928994083,1.775147928994083,0.0
0.0,0.0,0.25,1.0,1.0,,33.333333333333336,0.0,0.0,16.666666666666668,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.3644067796610169,0.788135593220339,0.8105263157894738,155.94880000000003,3.4482758620689657,0.0,0.0,4.827586206896552,0.0,1.3793103448275863,0.6896551724137931,0.0
0.0625,0.0,0.4117647058823529,0.8235294117647058,0.8235294117647058,26.97333333333333,13.88888888888889,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.4298245614035088,0.8333333333333334,0.8426666666666666,191.52000000000007,2.985074626865672,0.0,0.0,3.7313432835820897,0.0,2.238805970149254,0.746268656716418,0.0
0.0,0.0,0.5238095238095238,0.8571428571428571,0.8571428571428571,82.31999999999998,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.45514950166112955,0.6046511627906976,0.7637623762376238,136.4256358560794,4.651162790697674,0.0,1.0335917312661498,3.3591731266149867,0.0,1.2919896640826871,0.25839793281653745,0.0
0.0,0.0,0.6,0.9333333333333333,0.9333333333333333,63.00000000000002,5.882352941176471,0.0,5.882352941176471,0.0,0.0,0.0,0.0,0.0,0.03594771241830065,0.0,0.4495114006514658,0.5895765472312704,0.7684615384615385,126.37620894806531,3.9900249376558605,0.0,1.2468827930174564,3.7406483790523692,0.0,1.745635910224439,0.24937655860349128,0.0
0.030303030303030304,0.015384615384615385,0.582089552238806,0.746268656716418,0.746268656716418,73.93647058823531,4.10958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05363984674329502,0.007692307692307693,0.46564885496183206,0.6297709923664122,0.7562576687116565,138.41509433962264,3.768115942028986,0.0,0.8695652173913044,2.028985507246377,0.2898550724637681,1.7391304347826089,0.5797101449275363,0.0
0.06293706293706294,0.017543859649122806,0.5679442508710801,0.5505226480836237,0.7127659574468085,95.66666666666667,6.5420560747663545,0.0,0.0,0.9345794392523363,0.0,0.0,0.0,0.0,0.015306122448979591,0.0,0.4467005076142132,0.6294416243654822,0.7413265306122448,112.22789727911822,3.90625,0.0,0.0,3.125,0.0,1.5625,0.78125,0.0
0.0,0.0,0.4,0.8666666666666667,0.8666666666666667,31.50000000000001,11.11111111111111,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.032388663967611336,0.0,0.4112903225806452,0.6411290322580645,0.7870469798657717,150.06467661691545,4.658385093167701,0.0,0.3105590062111801,3.105590062111801,0.0,1.2422360248447204,1.2422360248447204,0.0
0.0,0.0,0.5,1.0,1.0,,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.5555555555555556,0.7530864197530864,0.7530864197530864,91.85400000000001,4.166666666666667,0.0,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,0.0
0.0,0.0,0.5857142857142857,0.7285714285714285,0.7285714285714285,72.21052631578947,3.947368421052632,0.0,1.3157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.8148148148148148,0.8148148148148148,122.47199999999998,4.301075268817204,0.0,0.0,5.376344086021505,0.0,1.075268817204301,0.0,0.0
0.0,0.0,0.5076923076923077,0.7846153846153846,0.7846153846153846,84.50000000000001,4.054054054054054,0.0,0.0,5.405405405405405,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.5096153846153846,0.7980769230769231,0.7959999999999999,144.21333333333337,3.389830508474576,0.0,0.0,3.389830508474576,0.0,0.847457627118644,1.694915254237288,0.0
