group,POSITIVE_count,POSITIVE_proportion,NEUTRAL_count,NEUTRAL_proportion,NEGATIVE_count,NEGATIVE_proportion
Formal Human,1,0.007462686567164179,133,0.9925373134328358,0,0.0
Formal LLM,4,0.029850746268656716,130,0.9701492537313433,0,0.0
