condition,feature,human_mean_pre,human_mean_post,human_mean_pct_change,llm_mean_pre,llm_mean_post,dz_pre,dz_post,dz_change,p_pre,p_post,n_pre,n_post
baseline,bigram_repetition_rate,0.011042856646361383,0.01104339820413142,0.004904145615391413,0.023627689670561242,0.023627689670561242,0.4399610393614422,0.43993345211159807,-2.758724984414096e-05,4.960443571161525e-59,5.062045935848866e-59,1149,1149
baseline,trigram_repetition_rate,0.0025803094024209926,0.0025803094024209926,0.0,0.002744131819485107,0.002744131819485107,0.01409077370978394,0.01409077370978394,0.0,9.466125264823812e-07,9.466125264823812e-07,1149,1149
baseline,function_word_rate,0.48423069385216283,0.48473872620811276,0.1049153559243462,0.46215814398026805,0.46215814398026805,-0.15111022953220574,-0.15481336753552755,-0.0037031380033218098,3.2020202920242915e-20,5.870989257031319e-21,1149,1149
baseline,ttr,0.8597576711176025,0.859628143123421,-0.015065639834670982,0.7073574139942375,0.7073574139942375,-1.0150543360049231,-1.0137123508959136,0.0013419851090095136,1.2934110254871666e-144,1.9282104568576872e-144,1149,1149
baseline,mattr,0.865888100815796,0.8657621432822374,-0.01454662945938687,0.7803772178304664,0.7803772178304664,-0.6477603799988314,-0.646694819016484,0.0010655609823474466,2.302750591462289e-95,3.8911908268860996e-95,1149,1149
baseline,mtld,77.42367214871422,77.35127018601654,-0.09351398698658213,126.17232667695744,126.17232667695744,0.7544996586306231,0.7587487298499953,0.004249071219372236,2.930676290395902e-99,1.2867196287329182e-99,963,963
baseline,punct_period,8.692933406035428,8.707562692035877,0.1682894060857793,4.134970706075052,4.134970706075052,-0.296279923171841,-0.2971161832672819,-0.0008362600954409105,4.439265583429905e-49,2.587287175365612e-49,1149,1149
baseline,punct_exclaim,0.6552699460827627,0.6552716276694756,0.00025662503261880324,0.03966183209633297,0.03966183209633297,-0.15085469532275564,-0.15085511007944846,-4.147566928236479e-07,1.7708436957931938e-18,1.7708436957931938e-18,1149,1149
baseline,punct_question,1.7136387373384958,1.7145242818479878,0.051676265842783786,0.17606403434245105,0.17606403434245105,-0.29218462206142365,-0.2923228324036325,-0.00013821034220884432,1.0225177262402778e-40,1.002747611862402e-40,1149,1149
baseline,punct_comma,2.7343079278282176,2.7292052797319775,-0.18661570792039714,4.047195361131408,4.047195361131408,0.3239967559461225,0.32536445707449546,0.0013677011283729779,3.487214095649658e-48,1.6820936636463212e-48,1149,1149
