,Human,LLM baseline,LLM human-like,LLM detector-aware,LLM detector-evasive
Location (LOC),0.765,0.5537,0.4849,0.4811,0.8571
Person (PRS),0.5592,0.2377,0.2173,0.2343,0.5358
Organisation (ORG),0.17,0.1375,0.1332,0.1049,0.3501
Time (TME),0.0496,0.0127,0.0111,0.0196,0.0352
Work/Artefact (WRK),0.0135,0.0063,0.0062,0.008,0.02
Object (OBJ),0.0086,0.0088,0.007,0.0066,0.0141
Event (EVN),0.0016,0.0036,0.0073,0.0031,0.0034
Measure (MSR),0.0073,0.0002,0.0009,0.0002,0.0023
