doc_index,register,n_tokens_spacy,n_sents_spacy,pos_counts_spacy_json,n_words_stanza,upos_counts_json,n_unique_lemmas_stanza,top_deprel_json
0,formal,1,1,"{""PROPN"": 1}",1,"{""NUM"": 1}",1,"{""root"": 1}"
1,formal,1,1,"{""ADJ"": 1}",1,"{""PUNCT"": 1}",1,"{""root"": 1}"
2,formal,1,1,"{""NOUN"": 1}",1,"{""NUM"": 1}",1,"{""root"": 1}"
3,formal,1,1,"{""NOUN"": 1}",1,"{""NUM"": 1}",1,"{""root"": 1}"
4,formal,1,1,"{""NOUN"": 1}",1,"{""PUNCT"": 1}",1,"{""root"": 1}"
