Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.0833 | ADV:0.0833 | DET:0.1667 | NOUN:0.1667 | PART:0.0833 | PROPN:0.0833 | PUNCT:0.2500 | VERB:0.0833,ADJ:0.0704 | ADP:0.0329 | ADV:0.1362 | AUX:0.0563 | CCONJ:0.0329 | DET:0.0469 | NOUN:0.1596 | NUM:0.0094 | PART:0.0282 | PRON:0.1268 | PUNCT:0.1408 | SCONJ:0.0469 | SYM:0.0047 | VERB:0.1080,12,213
ADJ:0.0556 | ADP:0.0741 | ADV:0.2222 | AUX:0.0926 | CCONJ:0.0370 | DET:0.0185 | NOUN:0.1111 | PART:0.0370 | PRON:0.0741 | PUNCT:0.1296 | SCONJ:0.0185 | VERB:0.1296,ADJ:0.0714 | ADP:0.0446 | ADV:0.1116 | AUX:0.0402 | CCONJ:0.0536 | DET:0.0446 | NOUN:0.1830 | NUM:0.0179 | PART:0.0268 | PRON:0.1027 | PUNCT:0.1295 | SCONJ:0.0446 | SYM:0.0045 | VERB:0.1250,54,224
ADP:0.1667 | DET:0.1667 | NOUN:0.3333 | PUNCT:0.3333,ADJ:0.0769 | ADP:0.0879 | ADV:0.0769 | AUX:0.0330 | CCONJ:0.0440 | DET:0.0659 | NOUN:0.1978 | NUM:0.0330 | PART:0.0220 | PRON:0.0330 | PUNCT:0.1758 | SCONJ:0.0440 | SYM:0.0110 | VERB:0.0989,6,91
ADJ:0.0714 | ADP:0.0714 | ADV:0.1429 | CCONJ:0.0714 | NOUN:0.2143 | PART:0.0714 | PRON:0.0714 | PUNCT:0.1429 | VERB:0.1429,ADJ:0.0405 | ADP:0.0811 | ADV:0.0811 | CCONJ:0.0405 | DET:0.0541 | NOUN:0.1216 | NUM:0.0270 | PRON:0.1216 | PROPN:0.0541 | PUNCT:0.1622 | SCONJ:0.0270 | SYM:0.0270 | VERB:0.1622,14,74
ADV:0.2857 | NOUN:0.4286 | PART:0.1429 | PROPN:0.1429,ADJ:0.0455 | ADP:0.0455 | ADV:0.1212 | AUX:0.0530 | CCONJ:0.0455 | DET:0.0379 | NOUN:0.1364 | NUM:0.0076 | PART:0.0152 | PRON:0.1061 | PROPN:0.0152 | PUNCT:0.2197 | SCONJ:0.0303 | VERB:0.1212,7,132
ADV:0.1429 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.2857 | PRON:0.1429 | PUNCT:0.1429 | SCONJ:0.0714 | VERB:0.0714,ADJ:0.0573 | ADP:0.0637 | ADV:0.1210 | AUX:0.0701 | CCONJ:0.0318 | DET:0.0318 | NOUN:0.1338 | NUM:0.0064 | PART:0.0064 | PRON:0.1083 | PROPN:0.0318 | PUNCT:0.2229 | SCONJ:0.0318 | VERB:0.0828,14,157
ADJ:0.0588 | ADP:0.1176 | ADV:0.1765 | AUX:0.1176 | DET:0.0588 | NOUN:0.1765 | PRON:0.0588 | PUNCT:0.1765 | VERB:0.0588,ADJ:0.0562 | ADP:0.0674 | ADV:0.0730 | AUX:0.0393 | CCONJ:0.0337 | DET:0.0449 | INTJ:0.0056 | NOUN:0.1854 | NUM:0.0112 | PART:0.0056 | PRON:0.0955 | PROPN:0.0112 | PUNCT:0.2303 | SCONJ:0.0562 | VERB:0.0843,17,178
ADJ:0.1111 | ADP:0.1111 | NOUN:0.2222 | PRON:0.2222 | PUNCT:0.2222 | VERB:0.1111,ADJ:0.0932 | ADP:0.0508 | ADV:0.1017 | AUX:0.0593 | CCONJ:0.0424 | DET:0.0339 | NOUN:0.1610 | NUM:0.0085 | PART:0.0085 | PRON:0.0763 | PROPN:0.0254 | PUNCT:0.2119 | SCONJ:0.0424 | VERB:0.0847,9,118
ADJ:0.0714 | ADP:0.0714 | AUX:0.0714 | NOUN:0.1429 | PRON:0.2143 | PROPN:0.1429 | PUNCT:0.0714 | VERB:0.2143,ADJ:0.0485 | ADP:0.0667 | ADV:0.1212 | AUX:0.0667 | CCONJ:0.0303 | DET:0.0364 | NOUN:0.1515 | PART:0.0182 | PRON:0.1030 | PROPN:0.0182 | PUNCT:0.2424 | SCONJ:0.0303 | VERB:0.0667,14,165
ADJ:0.1250 | AUX:0.1250 | DET:0.1250 | NOUN:0.2500 | PUNCT:0.3750,ADJ:0.0687 | ADP:0.0534 | ADV:0.0458 | AUX:0.0305 | CCONJ:0.0076 | NOUN:0.0840 | PRON:0.0305 | PUNCT:0.6336 | SCONJ:0.0076 | VERB:0.0382,8,131
