tag,Formal Human,Formal LLM,Informal Human,Informal LLM
EVN,0.0,0.0,0.003387533875338753,0.0
LOC,0.4443679065095891,0.16718097887388594,0.5910431864474288,0.34715413241234
MSR,0.01406977166956653,0.0041230312525768935,0.017339049109927153,0.0013113034356150015
OBJ,0.0,0.0,0.005371723248818221,0.027273461789285882
ORG,0.19515732326148663,0.09635279229119145,0.11195294257227371,0.091399107086414
PRS,0.3849720969520411,0.19142054723742152,0.504004397448541,0.37452144052077513
TME,0.03676375300637712,0.014205692199398916,0.09288949303938011,0.02538458034262994
WRK,0.043603644607884934,0.027247021164839784,0.021791127528883895,0.013705031908932401
