Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:8 | acl:relcl:2 | advcl:2 | advmod:4 | amod:12 | appos:1 | aux:3 | case:17 | cc:4 | ccomp:2 | conj:7 | cop:2 | det:7 | fixed:1 | mark:4 | nmod:7 | nsubj:13 | nsubj:pass:3 | nummod:4 | obj:7 | obl:10 | obl:agent:1 | parataxis:2 | punct:17 | xcomp:1,ROOT:39 | acl:1 | acl:relcl:6 | advcl:6 | advmod:33 | amod:33 | aux:9 | case:40 | cc:16 | ccomp:7 | compound:prt:5 | conj:17 | cop:3 | csubj:1 | det:21 | expl:1 | fixed:4 | mark:20 | nmod:10 | nmod:poss:3 | nsubj:57 | nsubj:pass:3 | obj:24 | obl:29 | punct:40 | xcomp:7
ROOT:13 | acl:4 | acl:relcl:6 | advcl:2 | advmod:14 | amod:29 | appos:3 | aux:6 | case:63 | cc:20 | conj:21 | cop:3 | csubj:1 | det:17 | expl:2 | fixed:5 | mark:11 | nmod:40 | nmod:poss:5 | nsubj:19 | nsubj:pass:5 | nummod:2 | obj:10 | obl:22 | obl:agent:1 | parataxis:3 | punct:31 | xcomp:1,ROOT:40 | acl:cleft:1 | acl:relcl:4 | advcl:15 | advmod:31 | amod:25 | aux:8 | case:29 | cc:16 | ccomp:12 | compound:prt:2 | conj:17 | cop:3 | csubj:2 | det:18 | dislocated:4 | expl:2 | mark:32 | nmod:5 | nmod:poss:2 | nsubj:52 | nsubj:pass:12 | obj:21 | obl:26 | parataxis:1 | punct:45 | xcomp:8
ROOT:13 | acl:3 | acl:relcl:6 | advcl:4 | advmod:15 | amod:17 | aux:5 | case:30 | cc:2 | conj:2 | cop:8 | csubj:2 | dep:1 | det:13 | dislocated:1 | expl:2 | fixed:4 | mark:13 | nmod:11 | nmod:poss:1 | nsubj:13 | nsubj:pass:7 | obj:12 | obl:17 | obl:agent:1 | punct:12 | xcomp:4,ROOT:51 | acl:1 | acl:relcl:4 | advcl:7 | advmod:24 | amod:32 | appos:2 | aux:21 | case:49 | cc:25 | ccomp:10 | compound:prt:3 | conj:23 | cop:2 | csubj:1 | det:28 | dislocated:2 | expl:1 | fixed:2 | mark:21 | nmod:15 | nsubj:71 | nsubj:pass:2 | nummod:2 | obj:35 | obl:33 | parataxis:1 | punct:54 | xcomp:5
ROOT:5 | acl:relcl:4 | advcl:2 | advmod:4 | amod:10 | appos:3 | aux:1 | case:11 | cc:6 | conj:6 | cop:2 | det:3 | expl:1 | fixed:2 | iobj:1 | mark:5 | nmod:10 | nsubj:6 | nsubj:pass:5 | nummod:3 | obj:5 | obl:3 | punct:12 | xcomp:3,ROOT:38 | acl:relcl:6 | advcl:6 | advmod:36 | amod:29 | aux:13 | case:59 | cc:32 | ccomp:4 | compound:prt:2 | conj:48 | cop:9 | csubj:1 | dep:1 | det:12 | expl:2 | fixed:8 | mark:16 | nmod:32 | nmod:poss:4 | nsubj:50 | nsubj:pass:11 | nummod:2 | obj:21 | obl:28 | obl:agent:2 | parataxis:1 | punct:51 | xcomp:3
ROOT:19 | acl:relcl:4 | advcl:10 | advmod:19 | amod:20 | appos:2 | aux:6 | case:48 | cc:25 | ccomp:1 | compound:prt:1 | conj:19 | cop:7 | det:8 | fixed:2 | mark:10 | nmod:34 | nmod:poss:2 | nsubj:25 | nsubj:pass:6 | nummod:10 | obj:6 | obl:19 | obl:agent:2 | parataxis:2 | punct:33 | xcomp:1,ROOT:38 | acl:3 | acl:cleft:1 | acl:relcl:1 | advcl:6 | advmod:31 | amod:21 | appos:1 | aux:5 | case:39 | cc:22 | ccomp:3 | compound:prt:2 | conj:23 | cop:6 | csubj:1 | dep:1 | det:10 | expl:1 | fixed:2 | mark:18 | nmod:18 | nmod:poss:3 | nsubj:39 | nsubj:pass:11 | nummod:1 | obj:22 | obl:21 | obl:agent:1 | punct:44 | xcomp:5
ROOT:14 | advcl:1 | advmod:5 | amod:15 | appos:3 | aux:2 | case:19 | cc:19 | ccomp:2 | compound:prt:1 | conj:23 | cop:3 | dep:5 | det:9 | expl:2 | mark:5 | nmod:17 | nmod:poss:4 | nsubj:15 | nsubj:pass:4 | nummod:19 | obj:16 | obl:14 | parataxis:2 | punct:36,ROOT:52 | acl:5 | acl:relcl:4 | advcl:9 | advmod:41 | amod:34 | appos:1 | aux:9 | case:45 | cc:22 | ccomp:5 | compound:prt:11 | conj:25 | cop:7 | csubj:1 | det:19 | expl:2 | fixed:7 | iobj:1 | mark:26 | nmod:13 | nmod:poss:1 | nsubj:61 | nsubj:pass:13 | nummod:6 | obj:36 | obl:28 | obl:agent:2 | punct:59 | xcomp:3
ROOT:13 | acl:relcl:2 | advcl:7 | advmod:13 | amod:21 | appos:2 | aux:5 | case:27 | cc:16 | ccomp:4 | compound:prt:2 | conj:18 | cop:2 | csubj:1 | dep:1 | det:11 | expl:1 | fixed:7 | mark:16 | nmod:14 | nmod:poss:2 | nsubj:10 | nsubj:pass:8 | obj:6 | obl:15 | parataxis:1 | punct:21 | xcomp:2,ROOT:35 | acl:relcl:2 | advcl:12 | advmod:25 | amod:31 | aux:6 | case:37 | cc:36 | ccomp:7 | compound:prt:4 | conj:56 | det:22 | dislocated:2 | mark:19 | nmod:15 | nmod:poss:5 | nsubj:49 | nsubj:pass:9 | nummod:1 | obj:31 | obl:21 | parataxis:1 | punct:59 | xcomp:3
ROOT:17 | acl:3 | acl:cleft:1 | acl:relcl:1 | advcl:4 | advmod:12 | amod:18 | appos:4 | aux:1 | case:34 | cc:12 | ccomp:1 | compound:prt:1 | conj:15 | cop:5 | csubj:2 | dep:7 | det:9 | expl:3 | fixed:2 | flat:name:3 | mark:12 | nmod:21 | nmod:poss:3 | nsubj:9 | nsubj:pass:11 | nummod:5 | obj:13 | obl:18 | punct:21,ROOT:28 | acl:1 | acl:relcl:4 | advcl:8 | advmod:31 | amod:27 | aux:6 | case:48 | cc:27 | ccomp:5 | compound:prt:4 | conj:25 | cop:1 | dep:1 | det:16 | fixed:2 | flat:name:1 | mark:15 | nmod:21 | nsubj:47 | nsubj:pass:7 | obj:25 | obl:27 | obl:agent:2 | parataxis:1 | punct:29 | xcomp:5
ROOT:7 | acl:2 | acl:relcl:3 | advcl:4 | advmod:10 | amod:5 | aux:6 | case:13 | cc:5 | ccomp:1 | compound:prt:2 | conj:5 | cop:1 | dep:1 | det:9 | fixed:3 | flat:name:2 | mark:6 | nmod:3 | nmod:poss:4 | nsubj:11 | nsubj:pass:2 | nummod:1 | obj:8 | obl:10 | parataxis:2 | punct:11,ROOT:37 | acl:relcl:6 | advcl:8 | advmod:14 | amod:12 | appos:1 | aux:5 | case:32 | cc:10 | ccomp:5 | compound:prt:1 | conj:12 | cop:2 | dep:2 | det:8 | dislocated:1 | expl:2 | fixed:1 | flat:name:1 | mark:11 | nmod:6 | nmod:poss:2 | nsubj:56 | nsubj:pass:3 | nummod:2 | obj:25 | obl:24 | punct:39 | xcomp:4
ROOT:6 | acl:relcl:6 | advcl:2 | advmod:7 | amod:9 | aux:4 | case:17 | cc:5 | ccomp:2 | conj:5 | cop:7 | csubj:2 | det:18 | expl:1 | fixed:3 | mark:8 | nmod:7 | nsubj:12 | nsubj:pass:4 | nummod:4 | obj:7 | obl:7 | punct:8 | xcomp:1,ROOT:42 | acl:1 | acl:cleft:1 | acl:relcl:9 | advcl:5 | advmod:26 | amod:27 | aux:12 | case:24 | cc:13 | ccomp:4 | compound:prt:13 | conj:20 | cop:3 | det:21 | expl:2 | fixed:8 | flat:name:3 | iobj:1 | mark:16 | nmod:5 | nmod:poss:1 | nsubj:60 | nsubj:pass:3 | nummod:4 | obj:41 | obl:21 | parataxis:1 | punct:47 | xcomp:6
